cod_ibge7,cod_ibge6,lon,lat
3500105,350010,-51.06445,-21.57846
3500204,350020,-49.65812,-21.28489
3500303,350030,-47.04588,-22.0392
3500402,350040,-46.6961,-21.89934
3500501,350050,-46.60924,-22.47514
3500550,350055,-49.24719,-22.86326
3500600,350060,-47.87344,-22.60034
3500709,350070,-49.11045,-22.56138
3500758,350075,-47.86536,-23.54454
3500808,350080,-51.40062,-21.93447
3500907,350090,-49.09319,-20.5448
3501004,350100,-47.39496,-21.02337
3501103,350110,-50.17388,-21.60216
3501152,350115,-47.28935,-23.52778
3501202,350120,-49.90832,-20.29211
3501301,350130,-51.49845,-22.12256
3501400,350140,-49.75194,-22.08685
3501509,350150,-49.7578,-22.43439
3501608,350160,-47.29871,-22.73001
3501707,350170,-48.02088,-21.71733
3501806,350180,-49.76119,-20.28037
3501905,350190,-46.81138,-22.69113
3502002,350200,-47.68219,-22.13029
3502101,350210,-51.3236,-20.83602
3502200,350220,-48.45543,-23.47042
3502309,350230,-48.17012,-22.79891
3502408,350240,-51.42039,-22.3464
3502507,350250,-45.23828,-22.92755
3502606,350260,-50.91869,-20.45581
3502705,350270,-48.83402,-24.40341
3502754,350275,-47.08076,-23.43571
3502804,350280,-50.57713,-21.13644
3502903,350290,-47.64307,-23.54943
3503000,350300,-47.81704,-20.16183
3503109,350310,-49.05596,-23.18544
3503158,350315,-44.45538,-22.66992
3503208,350320,-48.17753,-21.79103
3503307,350330,-47.33348,-22.34037
3503356,350335,-50.41032,-21.75695
3503406,350340,-48.98183,-22.05608
3503505,350350,-44.71557,-22.67798
3503604,350360,-48.65939,-22.61764
3503703,350370,-48.78694,-21.18614
3503802,350380,-47.14357,-22.55357
3503901,350390,-46.31572,-23.38907
3503950,350395,-50.72371,-20.17483
3504008,350400,-50.43204,-22.59664
3504107,350410,-46.5876,-23.13154
3504206,350420,-50.58053,-20.64268
3504305,350430,-49.32208,-22.20233
3504404,350440,-49.94277,-21.44492
3504503,350450,-48.88054,-23.08333
3504602,350460,-49.44578,-20.93396
3504701,350470,-49.32407,-21.88471
3504800,350480,-49.54751,-20.69705
3504909,350490,-44.3371,-22.74891
3505005,350500,-49.58654,-23.56908
3505104,350510,-49.91876,-21.29878
3505203,350520,-48.74062,-22.07994
3505302,350530,-48.55535,-22.48653
3505351,350535,-49.10698,-24.44814
3505401,350540,-48.43398,-24.89016
3505500,350550,-48.63988,-20.50981
3505609,350560,-48.09238,-21.22925
3505708,350570,-46.86254,-23.49688
3505807,350580,-50.7643,-21.94653
3505906,350590,-47.5899,-20.86448
3506003,350600,-49.12715,-22.26234
3506102,350610,-48.52368,-20.94643
3506201,350620,-50.85449,-21.30863
3506300,350630,-49.49597,-23.02407
3506359,350635,-46.0275,-23.76242
3506409,350640,-50.47154,-21.42494
3506508,350650,-50.35372,-21.2731
3506607,350660,-46.01972,-23.62311
3506706,350670,-48.46812,-21.93625
3506805,350680,-48.52376,-22.09864
3506904,350690,-48.28345,-23.13387
3507001,350700,-47.66927,-23.29544
3507100,350710,-46.48171,-23.19121
3507159,350715,-49.16846,-24.31168
3507209,350720,-50.49436,-22.23346
3507308,350730,-48.79427,-22.16431
3507407,350740,-49.06028,-21.59867
3507456,350745,-48.98365,-22.67669
3507506,350750,-48.49016,-22.85228
3507605,350760,-46.57247,-22.95385
3507704,350770,-50.32175,-21.54766
3507753,350775,-50.20599,-21.18991
3507803,350780,-47.64342,-21.04336
3507902,350790,-48.08801,-22.25723
3508009,350800,-48.60604,-23.7376
3508108,350810,-50.20932,-21.05578
3508207,350820,-47.68584,-20.20866
3508306,350830,-49.38578,-22.47652
3508405,350840,-47.07387,-23.28964
3508504,350850,-45.70759,-23.10397
3508603,350860,-45.01419,-22.68758
3508702,350870,-46.63747,-21.54454
3508801,350880,-49.54377,-21.71956
3508900,350890,-51.21497,-21.94178
3509007,350900,-46.73703,-23.38381
3509106,350910,-51.98011,-21.80163
3509205,350920,-46.88307,-23.34899
3509254,350925,-48.18486,-24.7522
3509304,350930,-48.84692,-20.87686
3509403,350940,-47.32305,-21.28217
3509452,350945,-48.45204,-23.59035
3509502,350950,-47.0479,-22.89819
3509601,350960,-46.75795,-23.21922
3509700,350970,-45.53904,-22.70268
3509809,350980,-50.02915,-22.60355
3509908,350990,-47.99758,-24.99321
3509957,350995,-45.03758,-22.73235
3510005,351000,-50.4223,-22.81448
3510104,351010,-48.6333,-21.34194
3510153,351015,-49.78712,-23.01017
3510203,351020,-48.263,-24.06525
3510302,351030,-47.72725,-23.47708
3510401,351040,-47.50447,-22.97703
3510500,351050,-45.4883,-23.63168
3510609,351060,-46.85028,-23.5491
3510708,351070,-49.93635,-20.07797
3510807,351080,-47.09673,-21.80103
3510906,351090,-47.14172,-21.26386
3511003,351100,-51.5814,-20.91113
3511102,351110,-48.95973,-21.13147
3511201,351120,-49.04074,-21.06816
3511300,351130,-49.24179,-20.89971
3511409,351140,-49.12808,-23.04134
3511508,351150,-47.76335,-23.1828
3511607,351160,-47.89998,-23.22242
3511706,351170,-47.74982,-22.51708
3511904,351190,-50.46675,-21.56403
3512001,351200,-48.58148,-20.75227
3512100,351210,-48.71114,-20.27437
3512209,351220,-47.14818,-22.37142
3512308,351230,-48.0449,-22.96591
3512407,351240,-47.41837,-22.47492
