cnes,ano,qtde_obito_all_covid,qtde_obito_sem_excl_covid,qtde_alta_complex_covid
8028,2020,125.0,125.0,0.0
8036,2020,0.0,0.0,0.0
8052,2020,252.0,252.0,0.0
8087,2020,49.0,49.0,0.0
8141,2020,0.0,0.0,0.0
8494,2020,7.0,7.0,0.0
8923,2020,277.0,277.0,0.0
9601,2020,1.0,1.0,0.0
9628,2020,283.0,283.0,0.0
21520,2020,1.0,1.0,0.0
24228,2020,19.0,19.0,0.0
34053,2020,20.0,20.0,0.0
89621,2020,18.0,18.0,0.0
92894,2020,56.0,56.0,0.0
102040,2020,2.0,2.0,0.0
102075,2020,20.0,20.0,0.0
102083,2020,4.0,4.0,0.0
102105,2020,1.0,1.0,0.0
102571,2020,8.0,8.0,0.0
102741,2020,3.0,3.0,0.0
102806,2020,10.0,10.0,0.0
103462,2020,11.0,11.0,0.0
103608,2020,0.0,0.0,0.0
104795,2020,98.0,98.0,0.0
104892,2020,32.0,32.0,0.0
105589,2020,6.0,6.0,0.0
105597,2020,0.0,0.0,0.0
105708,2020,0.0,0.0,0.0
105759,2020,314.0,314.0,0.0
105767,2020,147.0,147.0,0.0
105856,2020,0.0,0.0,0.0
106232,2020,5.0,5.0,0.0
109746,2020,28.0,28.0,0.0
110310,2020,2.0,2.0,0.0
110612,2020,44.0,44.0,0.0
110981,2020,49.0,49.0,0.0
112062,2020,49.0,49.0,0.0
112542,2020,0.0,0.0,0.0
113123,2020,9.0,9.0,0.0
113921,2020,14.0,14.0,0.0
115509,2020,39.0,39.0,0.0
116750,2020,19.0,19.0,0.0
117749,2020,8.0,8.0,0.0
119172,2020,3.0,3.0,0.0
119199,2020,9.0,9.0,0.0
127604,2020,7.0,7.0,0.0
127868,2020,8.0,8.0,0.0
127876,2020,89.0,89.0,0.0
133272,2020,1.0,1.0,0.0
134163,2020,0.0,0.0,0.0
136328,2020,0.0,0.0,0.0
145963,2020,15.0,15.0,0.0
146048,2020,0.0,0.0,0.0
149632,2020,0.0,0.0,0.0
150126,2020,1.0,1.0,0.0
151882,2020,1.0,1.0,0.0
155829,2020,0.0,0.0,0.0
156701,2020,2.0,2.0,0.0
158119,2020,1.0,1.0,0.0
161438,2020,0.0,0.0,0.0
163279,2020,0.0,0.0,0.0
179914,2020,14.0,14.0,0.0
189979,2020,5.0,5.0,0.0
197831,2020,6.0,6.0,0.0
213527,2020,1.0,1.0,0.0
215368,2020,0.0,0.0,0.0
255297,2020,2.0,2.0,0.0
