cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid
8028,2015,,Público Municipal,Grande Porte,187,171,159,159,28,12,55197,4318,95.10984750581545,98.58447488584476,353440,Osasco,05 HOSPITAL GERAL,N/A,1,8186.0,779.0,779.0,55197.0,6599542.650000021,1.0,0.0,0.0,0.0,3703,0
8036,2015,,Público Municipal,Grande Porte,167,167,155,155,12,12,32141,3993,56.81131241714538,91.16438356164383,353440,Osasco,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,7514.0,36.0,35.0,32141.0,6004163.560000016,0.0,0.0,0.0,0.0,444,0
8052,2015,,Direta,Grande Porte,212,212,202,202,10,10,43742,2874,59.327275193272754,78.73972602739725,353440,Osasco,05 HOSPITAL GERAL,N/A,1,4832.0,555.0,555.0,43742.0,4975262.940000005,360.0,0.0,0.0,0.0,2475,0
8087,2015,,Público Municipal,HPP,17,17,17,17,0,0,2293,0,36.954069298952454,0.0,353440,Osasco,20 PRONTO SOCORRO GERAL,-,1,542.0,46.0,46.0,2293.0,239798.64000000028,0.0,0.0,0.0,0.0,336,0
8141,2015,,Público Municipal,HPP,12,12,12,12,0,0,916,0,20.91324200913242,0.0,353440,Osasco,20 PRONTO SOCORRO GERAL,-,1,250.0,9.0,9.0,916.0,107852.0199999999,0.0,0.0,0.0,0.0,179,0
8478,2015,,DESATIVADO,Médio Porte,65,14,65,14,0,0,5134,0,100.46966731898239,0.0,353440,Osasco,07 HOSPITAL ESPECIALIZADO,-,1,175.0,0.0,0.0,5134.0,262770.7199999999,0.0,0.0,0.0,0.0,9,0
8494,2015,,Público Municipal,HPP,31,31,31,31,0,0,6517,0,57.59611135660627,0.0,354780,Santo Andre,73 PRONTO ATENDIMENTO,-,1,1780.0,216.0,216.0,6517.0,608169.0400000009,0.0,0.0,0.0,0.0,769,0
8923,2015,,Público Municipal,Grande Porte,251,244,208,208,43,36,85929,13237,113.1836143308746,100.73820395738204,354780,Santo Andre,05 HOSPITAL GERAL,N/A,1,11525.0,792.0,792.0,85929.0,19782775.910000097,547.0,0.0,0.0,0.0,5210,0
9539,2015,,Filantrópico,Médio Porte,76,43,62,35,14,8,7897,1131,61.816046966731896,38.73287671232877,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,2719.0,12.0,12.0,7897.0,2885155.980000001,345.0,0.0,0.0,0.0,270,0
9601,2015,,Filantrópico,Médio Porte,82,53,69,41,13,12,15401,4279,102.91346475108587,97.69406392694064,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,2851.0,210.0,210.0,15401.0,11962766.949999997,1604.0,0.0,0.0,0.0,1456,0
9628,2015,,Público Municipal,Grande Porte,360,360,308,308,52,52,121812,14992,108.3543853406867,78.98840885142255,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,21287.0,1375.0,1375.0,121812.0,23591257.090000134,807.0,0.0,0.0,0.0,7281,0
9636,2015,,Filantrópico,Médio Porte,100,0,100,0,0,0,5702,0,0.0,0.0,354990,Sao Jose Dos Campos,07 HOSPITAL ESPECIALIZADO,-,1,221.0,0.0,0.0,5702.0,232830.28999999995,0.0,0.0,0.0,0.0,68,0
9695,2015,,Público Municipal,HPP,17,17,17,17,0,0,3387,0,54.58501208702659,0.0,354990,Sao Jose Dos Campos,62 HOSPITAL/DIA - ISOLADO,-,1,113.0,0.0,0.0,3387.0,20143.549999999996,113.0,0.0,0.0,0.0,16,0
21520,2015,,Público Municipal,HPP,29,29,29,29,0,0,4739,0,44.770902220122814,0.0,354780,Santo Andre,73 PRONTO ATENDIMENTO,-,1,1210.0,212.0,212.0,4739.0,446114.54000000027,0.0,0.0,0.0,0.0,717,0
26417,2015,,Público Municipal,HPP,43,43,43,43,0,0,14935,0,95.15769353297229,0.0,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,2791.0,137.0,137.0,14935.0,1081979.489999999,0.0,0.0,0.0,0.0,887,0
2022621,2015,,Filantrópico,Grande Porte,217,117,175,92,42,25,26488,5430,78.88028588445503,59.50684931506849,350950,Campinas,05 HOSPITAL GERAL,N/A,1,7926.0,24.0,24.0,26488.0,8575545.899999997,1.0,0.0,0.0,0.0,622,0
2022648,2015,,Filantrópico,Médio Porte,115,63,98,62,17,1,7797,329,34.45426425099426,90.13698630136986,350950,Campinas,05 HOSPITAL GERAL,N/A,1,840.0,97.0,97.0,7797.0,449160.5499999999,0.0,0.0,0.0,0.0,322,0
2023016,2015,,Filantrópico,Médio Porte,73,55,73,55,0,0,8269,0,41.19053549190536,0.0,350940,Cajuru,05 HOSPITAL GERAL,N/A,1,2288.0,66.0,66.0,8269.0,935619.9100000024,0.0,0.0,0.0,0.0,1073,0
2023474,2015,,Público Municipal,Médio Porte,78,78,78,78,0,0,10173,0,35.732349841938884,0.0,352470,Jaguariuna,05 HOSPITAL GERAL,N/A,1,3186.0,115.0,115.0,10173.0,1683246.3000000026,0.0,0.0,0.0,0.0,1427,0
2023644,2015,,DESATIVADO,Médio Porte,97,66,90,63,7,3,6728,386,29.258534464013916,35.25114155251141,351280,Cosmópolis,05 HOSPITAL GERAL,N/A,1,2043.0,115.0,115.0,6728.0,952584.3400000009,2.0,0.0,0.0,0.0,904,0
2023709,2015,,Filantrópico,Médio Porte,117,66,99,60,18,6,18728,1615,85.51598173515981,73.74429223744292,352340,Itatiba,05 HOSPITAL GERAL,N/A,1,4475.0,291.0,290.0,18728.0,3545216.710000005,0.0,0.0,0.0,0.0,1864,0
2023865,2015,,Público Municipal,HPP,17,17,17,17,0,0,258,0,4.157937147461724,0.0,352420,Jaborandi,05 HOSPITAL GERAL,N/A,1,68.0,1.0,1.0,258.0,27459.03,0.0,0.0,0.0,0.0,63,0
2024438,2015,,Público Municipal,HPP,44,44,44,44,0,0,1107,0,6.892901618929016,0.0,353110,Mongagua,05 HOSPITAL GERAL,N/A,1,245.0,3.0,3.0,1107.0,67101.86000000003,0.0,0.0,0.0,0.0,154,0
2024691,2015,,Filantrópico,Médio Porte,126,87,116,77,10,10,17418,1713,61.974737591175945,46.93150684931507,351340,Cruzeiro,05 HOSPITAL GERAL,N/A,1,3723.0,275.0,275.0,17418.0,2706908.519999998,0.0,0.0,0.0,0.0,1581,0
2024756,2015,,Filantrópico,Médio Porte,70,66,65,61,5,5,12187,1500,54.73613294408264,82.1917808219178,350850,Cacapava,05 HOSPITAL GERAL,N/A,1,3187.0,245.0,245.0,12187.0,2665582.7899999996,5.0,0.0,0.0,0.0,1426,0
2024772,2015,,Filantrópico,HPP,47,40,47,40,0,0,590,0,4.041095890410959,0.0,350860,Cachoeira Paulista,05 HOSPITAL GERAL,N/A,1,228.0,19.0,19.0,590.0,57016.979999999996,1.0,0.0,0.0,0.0,173,0
2025361,2015,,Público Municipal,Médio Porte,138,138,119,119,19,19,35378,6856,81.45044319097502,98.86085075702957,354870,Sao Bernardo Do Campo,05 HOSPITAL GERAL,N/A,1,7898.0,426.0,426.0,35378.0,12435361.779999994,941.0,0.0,0.0,0.0,3510,0
2025477,2015,,Filantrópico,Médio Porte,81,52,74,49,7,3,8499,818,47.52026838132513,74.70319634703196,352430,Jaboticabal,05 HOSPITAL GERAL,N/A,1,2629.0,133.0,133.0,8499.0,1717335.4000000015,3.0,0.0,0.0,0.0,1265,0
2025507,2015,,Filantrópico,Grande Porte,193,189,169,165,24,24,59562,8282,98.89912826899128,94.54337899543378,352900,Marilia,05 HOSPITAL GERAL,N/A,1,7440.0,787.0,787.0,59562.0,14279385.26000005,676.0,0.0,0.0,0.0,3462,0
2025523,2015,,DESATIVADO,Médio Porte,101,93,86,78,15,15,21039,3777,73.89884088514225,68.98630136986301,352900,Marília,05 HOSPITAL GERAL,N/A,1,4852.0,33.0,33.0,21039.0,6590861.029999996,233.0,0.0,0.0,0.0,1105,0
2025752,2015,,Filantrópico,Especial,654,392,573,342,81,50,86793,11271,69.52895938476328,61.75890410958904,354850,Santos,05 HOSPITAL GERAL,N/A,1,14108.0,587.0,586.0,86793.0,25333068.500000015,979.0,0.0,0.0,0.0,4656,0
2026805,2015,,Filantrópico,Médio Porte,72,65,72,65,0,0,4189,0,17.656480505795574,0.0,351860,Guariba,05 HOSPITAL GERAL,N/A,1,1456.0,52.0,52.0,4189.0,669084.2899999992,0.0,0.0,0.0,0.0,639,0
2027186,2015,,Filantrópico,Grande Porte,182,140,162,122,20,18,36336,6244,81.59892207500562,95.03805175038052,352240,Itapeva,05 HOSPITAL GERAL,N/A,1,9935.0,554.0,554.0,36336.0,9485802.26,156.0,0.0,0.0,0.0,2717,0
2027356,2015,,Público Municipal,Médio Porte,147,118,118,89,29,29,35471,6844,109.19193473911037,64.65753424657534,354870,Sao Bernardo Do Campo,05 HOSPITAL GERAL,N/A,1,8394.0,42.0,42.0,35471.0,8897324.129999995,113.0,0.0,0.0,0.0,814,0
2028204,2015,,Filantrópico,Médio Porte,94,66,84,58,10,8,9247,2208,43.67973547472839,75.61643835616438,353130,Monte Alto,05 HOSPITAL GERAL,N/A,1,2201.0,136.0,136.0,9247.0,2168609.2,2.0,0.0,0.0,0.0,1142,0
2028239,2015,,Filantrópico,Médio Porte,58,52,58,52,0,0,4806,0,25.321390937829293,0.0,355430,Teodoro Sampaio,05 HOSPITAL GERAL,N/A,1,2006.0,44.0,44.0,4806.0,644279.3899999999,0.0,0.0,0.0,0.0,896,0
2028840,2015,,Direta,Grande Porte,160,160,143,143,17,17,52472,5095,100.5307021745378,82.11120064464141,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,3617.0,286.0,286.0,52472.0,6505283.079999995,1453.0,0.0,0.0,0.0,1373,0
2035081,2015,,Público Municipal,HPP,4,4,4,4,0,0,13,0,0.8904109589041096,0.0,354870,Sao Bernardo Do Campo,62 HOSPITAL/DIA - ISOLADO,-,1,790.0,0.0,0.0,13.0,203800.88999999998,0.0,0.0,0.0,0.0,42,0
2040069,2015,,Filantrópico,Médio Porte,122,122,100,100,22,22,38256,6141,104.81095890410958,76.47571606475717,351880,Guarulhos,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,9752.0,54.0,53.0,38256.0,10215593.510000015,0.0,0.0,0.0,0.0,574,0
2040573,2015,,Público Municipal,HPP,11,11,11,11,0,0,1,0,0.024906600249066,0.0,352050,Indaiatuba,62 HOSPITAL/DIA - ISOLADO,N/A,1,2855.0,0.0,0.0,1.0,1574795.9200000004,758.0,0.0,0.0,0.0,316,0
2042894,2015,,Público Municipal,Médio Porte,55,55,50,50,5,5,17292,1764,94.75068493150685,96.65753424657534,354850,Santos,20 PRONTO SOCORRO GERAL,-,1,3807.0,250.0,250.0,17292.0,1558147.4599999948,2.0,0.0,0.0,0.0,1735,0
2043351,2015,,Privado,HPP,2,1,2,1,0,0,0,0,0.0,0.0,351110,Catanduva,62 HOSPITAL/DIA - ISOLADO,-,1,3.0,0.0,0.0,0.0,7935.42,3.0,0.0,0.0,0.0,3,0
