cnes,ano,nome_fantasia,municipio,porte_hospital,faixa_complex,custo_saida
2791773,2022,,Bauru,HPP,,43.70227272727273
2080915,2017,,Bilac,HPP,2.0,44.22
4702069,2024,,Louveira,HPP,2.0,44.22
2090619,2016,,Igarata,HPP,,44.220000000000006
2039001,2022,,Suzano,HPP,,44.220000000000006
2707209,2019,,Santos,HPP,,51.16363636363637
2707209,2016,,Santos,HPP,,51.589999999999996
2791773,2021,Centro De Referencia Modulo I Sae Ii Adt Iii Hd,Bauru,HPP,,52.560344827586206
2791773,2017,,Bauru,HPP,,61.311979166666674
2093030,2017,,Juquia,HPP,,66.77208333333334
