cnes,ano,nome_fantasia,municipio,porte_hospital,faixa_complex,custo_saida
2058391,2018,,Sao Paulo,Especial,2.0,40767.205
5171946,2021,Hospital Sao Lucas Ribeirania,Ribeirao Preto,Médio Porte,,30887.992000000002
2708566,2017,,Sorocaba,Grande Porte,2.0,27887.5977
2708566,2018,,Sorocaba,Grande Porte,2.0,24991.337942857142
2081946,2021,Casa De Saude,Campinas,Médio Porte,,23968.506806722693
502138,2021,HOSPITAL ESTADUAL COVID19 FRANCA,Franca,HPP,,20560.29243243243
2708566,2024,,Sorocaba,Grande Porte,2.0,20253.36922005571
2081946,2020,Casa De Saude,Campinas,Médio Porte,,20179.54914285714
2077507,2015,,Sao Paulo,Grande Porte,2.0,18635.862464285696
2077507,2025,,Sao Paulo,Grande Porte,2.0,18588.774736164734
