cnes,ano,pct_alta_complex,mort_all,tmp,custo_real,qtde_sem_covid
2078287,2015,0.2931,0.0643,4.6474,2481.2643,6543.0
2078287,2016,0.2732,0.0829,4.6579,2208.8788,6478.0
2078287,2017,0.2724,0.0862,5.1786,2176.1425,5555.0
2078287,2018,0.2454,0.0734,4.2648,1892.6698,5611.0
2078287,2019,0.2837,0.0583,3.7227,1957.5264,6535.0
2078287,2020,0.3186,0.0889,3.9701,2021.267,4645.0
2078287,2021,0.3351,0.0775,3.7942,1915.2167,5417.0
2078287,2022,0.2835,0.0648,3.8328,1708.3776,4921.0
2078287,2023,0.2375,0.0466,3.4947,1423.765,10124.0
2078287,2024,0.2483,0.0451,3.3748,1508.7103,14451.0
2078287,2025,0.2464,0.0457,3.3956,1270.5853,14036.0
2081695,2015,0.0839,0.0856,8.0357,2894.9907,13428.0
2081695,2016,0.0985,0.0939,8.1071,2662.9603,13593.0
2081695,2017,0.0944,0.0929,8.4727,2680.1553,12891.0
2081695,2018,0.091,0.0986,9.1138,2789.1002,11875.0
2081695,2019,0.0909,0.0907,7.871,2507.4621,16135.0
2081695,2020,0.1031,0.084,7.4184,2586.2597,15235.0
2081695,2021,0.0892,0.0795,7.3521,2401.4657,14759.0
2081695,2022,0.1023,0.0741,6.9423,2530.0817,16243.0
2081695,2023,0.1077,0.0764,7.1271,2344.8034,17385.0
2081695,2024,0.107,0.0795,6.7763,2200.1143,18783.0
2081695,2025,0.1242,0.0848,6.4051,2382.7003,20228.0
