cnes,ano,municipio,qtde_sem_covid,mort_all,z
6123740,2021,Sao Paulo,18647.0,0.1391,49.7042
6123740,2023,Sao Paulo,22792.0,0.1232,44.4462
6123740,2020,Sao Paulo,18404.0,0.1292,43.4892
6123740,2018,Sao Paulo,22554.0,0.1216,43.2061
6123740,2019,Sao Paulo,21757.0,0.1209,41.9902
6123740,2022,Sao Paulo,18525.0,0.1252,41.3045
6123740,2024,Sao Paulo,22016.0,0.1189,40.9365
6123740,2017,Sao Paulo,23954.0,0.1159,40.6584
6123740,2025,Sao Paulo,22255.0,0.1174,40.1517
2080680,2020,Mogi Das Cruzes,14539.0,0.1291,38.6246
2078015,2025,Sao Paulo,62991.0,0.0276,-30.7106
2079186,2024,Sao Paulo,13693.0,0.0046,-26.0609
2079186,2025,Sao Paulo,13573.0,0.0049,-25.7761
7573162,2019,Jundiai,11801.0,0.0024,-25.2494
2079186,2015,Sao Paulo,11330.0,0.0018,-25.0224
2079186,2023,Sao Paulo,12254.0,0.0042,-24.8261
7573162,2018,Jundiai,11093.0,0.0022,-24.5763
2079186,2017,Sao Paulo,12755.0,0.0059,-24.5224
2079186,2016,Sao Paulo,12128.0,0.0051,-24.2809
2078015,2019,Sao Paulo,52416.0,0.0315,-24.167
