ano,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,ocupacao_internacao,ocupacao_uti,custo_real
2015,0.0531,0.053,4.3484,866.1516,0.0024,70.1788,64.8683,1427.3098
2016,0.0544,0.0543,4.3873,879.4532,0.0025,71.7212,65.6438,1363.4671
2017,0.0551,0.0551,4.359,882.3582,0.0029,72.619,67.0175,1328.7721
2018,0.0537,0.0537,4.2586,903.0089,0.0028,73.5496,64.9676,1310.7188
2019,0.0538,0.0538,4.2116,934.2565,0.0024,74.3252,67.0685,1300.0428
2020,0.0585,0.0585,4.2528,1023.0168,0.0022,64.5184,74.364,1361.9931
2021,0.0628,0.0627,4.1861,1050.4287,0.0026,72.6575,86.1057,1270.6596
2022,0.0582,0.0582,4.2914,1176.3708,0.0024,68.3893,61.696,1345.1238
2023,0.0556,0.0556,4.2797,1197.2134,0.0047,74.8387,69.8082,1308.5034
2024,0.0572,0.0572,4.2735,1266.8238,0.0052,75.6513,72.6712,1320.7905
2025,0.0549,0.0549,4.2765,1283.4592,0.0078,78.5498,73.5342,1283.4592
