ano,modelo_gestao_proxy,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,ocupacao_internacao,ocupacao_uti,custo_real
2015,Direta,0.0553,0.0553,5.8016,858.4171,0.029,61.9888,57.0352,1414.5644
2015,Filantrópico,0.0536,0.0536,3.9248,866.1516,0.001,62.8122,64.8683,1427.3098
2015,OSS,0.0445,0.0445,4.9119,959.8239,0.0157,92.8107,67.2732,1581.6701
2015,Privado,0.0305,0.0305,6.878,12144.2288,0.9607,29.8252,0.0685,20012.1752
2015,Público Municipal,0.054,0.054,5.0257,813.5056,0.0009,85.7797,66.7918,1340.5558
2016,Direta,0.0599,0.0597,5.8551,843.2859,0.0235,68.7129,62.5479,1307.3949
2016,Filantrópico,0.0558,0.0558,4.023,861.7814,0.0013,61.6541,68.1735,1336.0696
2016,OSS,0.0439,0.0439,4.7189,926.8079,0.0207,90.3265,71.9406,1436.8839
2016,Privado,0.0484,0.0484,4.6612,13505.1076,0.9624,47.2727,0.6849,20937.7494
2016,Público Municipal,0.0557,0.0557,5.0055,865.4799,0.0007,86.2739,67.0435,1341.8035
2017,Direta,0.0557,0.0557,5.7391,850.5618,0.0203,69.1211,60.2192,1280.8889
2017,Filantrópico,0.0559,0.0559,4.0814,894.525,0.0022,64.0235,70.2674,1347.0946
2017,OSS,0.0426,0.0425,4.6338,978.6608,0.0231,90.8647,72.6125,1473.7974
2017,Privado,0.0359,0.0359,5.334,17728.0223,0.9662,33.1612,2.1918,26697.2107
2017,Público Municipal,0.0569,0.0569,4.857,849.6178,0.0008,86.1305,62.6872,1279.4674
2018,Direta,0.0567,0.0567,5.6257,898.3221,0.0142,68.6237,55.4017,1303.9159
2018,Filantrópico,0.0544,0.0544,3.9507,887.6905,0.0026,65.0317,69.4942,1288.4841
2018,OSS,0.0461,0.0461,4.3369,978.2308,0.0245,94.993,71.7986,1419.9035
2018,Privado,0.0285,0.0285,4.7543,15353.3476,0.9793,50.0211,0.274,22285.4073
2018,Público Municipal,0.0556,0.0556,4.8034,881.8323,0.001,87.7558,68.5011,1279.981
2019,Direta,0.0545,0.0545,5.5369,965.8612,0.0199,71.589,58.0569,1344.0217
2019,Filantrópico,0.0539,0.0538,4.0057,930.5655,0.0017,66.5338,69.7634,1294.9067
2019,OSS,0.047,0.047,4.4156,995.0641,0.027,93.6674,70.8295,1384.6583
2019,Privado,0.0256,0.0256,3.5221,11686.4721,0.9928,54.6804,0.274,16262.0382
2019,Público Municipal,0.0576,0.0575,4.7769,916.476,0.001,89.2906,67.2633,1275.3008
2020,Direta,0.0685,0.0683,6.0626,1130.9502,0.0172,58.574,65.9661,1505.6902
2020,Filantrópico,0.0597,0.0597,3.9839,991.0577,0.0015,56.2391,72.2603,1319.4444
2020,OSS,0.0503,0.0503,4.6399,1126.1498,0.0209,87.5142,81.1507,1499.2992
2020,Privado,0.0205,0.0205,2.8498,12798.3596,0.9926,40.5367,3.4247,17039.0923
2020,Público Municipal,0.0637,0.0637,4.7662,1013.3969,0.0009,81.5973,79.1849,1349.1857
2021,Direta,0.0773,0.0773,6.245,1167.7933,0.0233,64.4143,81.5466,1412.6306
2021,Filantrópico,0.0626,0.0626,3.8,1036.6189,0.0012,67.8506,83.406,1253.9544
2021,OSS,0.0569,0.0569,5.1398,1222.605,0.0221,89.462,93.1218,1478.9341
2021,Privado,0.0223,0.0223,3.1286,12416.33,0.9835,51.1111,1.0959,15019.5143
2021,Público Municipal,0.0642,0.0642,4.9556,1031.5746,0.0008,81.7088,96.2511,1247.8526
2022,Direta,0.0668,0.0668,6.356,1219.7194,0.022,58.511,47.2624,1394.6908
2022,Filantrópico,0.0593,0.0593,4.0332,1158.3204,0.0012,63.6445,61.8569,1324.4841
2022,OSS,0.0518,0.0518,5.1875,1247.6977,0.0249,91.9079,71.9503,1426.6827
2022,Privado,0.0142,0.0142,3.1453,6996.3862,0.9836,36.4079,5.3516,8000.0334
2022,Público Municipal,0.0593,0.0593,4.7283,1181.4973,0.0012,83.1596,62.2179,1350.9857
2023,Direta,0.0613,0.0613,6.4025,1238.4201,0.0241,64.7659,52.9941,1353.5406
2023,Filantrópico,0.0587,0.0587,4.0665,1164.4181,0.0019,69.0635,69.9087,1272.6595
2023,OSS,0.0499,0.0499,4.9329,1319.5586,0.0325,96.071,76.7154,1442.2216
2023,Privado,0.0116,0.0116,3.2517,10818.6722,0.9983,33.7291,3.4932,11824.3498
2023,Público Municipal,0.0538,0.0538,4.5552,1212.9832,0.0012,90.8322,68.1999,1325.7392
2024,Direta,0.0541,0.0541,6.0628,1268.8407,0.0266,62.752,65.7808,1322.8933
2024,Filantrópico,0.0579,0.0579,4.0331,1290.1627,0.0035,70.1566,74.2161,1345.1237
2024,OSS,0.0526,0.0526,4.8438,1394.9746,0.0347,98.8252,75.1665,1454.4005
2024,Privado,0.0251,0.0251,3.3872,12879.9886,0.9934,50.1218,7.3973,13428.6761
2024,Público Municipal,0.0579,0.0579,4.6258,1187.6235,0.0022,92.9812,68.5187,1238.2162
2025,Direta,0.0551,0.055,6.0695,1465.9952,0.0376,62.8321,64.8082,1465.9952
2025,Filantrópico,0.0549,0.0549,3.938,1294.0531,0.0055,74.3545,77.6027,1294.0531
2025,OSS,0.0548,0.0548,4.6655,1359.0178,0.0254,94.1136,72.3288,1359.0178
2025,Privado,0.013,0.013,4.8466,16180.4686,0.9923,62.4962,5.4338,16180.4686
2025,Público Municipal,0.0568,0.0568,4.6848,1229.2006,0.002,91.9348,73.1036,1229.2006
