variavel,dimensao,grupo,frac_zero,n
pct_alta_complex,categoria,Direta,0.2218,284
pct_alta_complex,categoria,OSS,0.1068,365
pct_alta_complex,categoria,Público Municipal,0.2873,616
pct_alta_complex,categoria,Filantrópico,0.3748,1881
pct_alta_complex,categoria,Privado,0.303,33
pct_alta_complex,faixa Barcelona,2,0.8013,473
pct_alta_complex,faixa Barcelona,3,0.4098,1320
pct_alta_complex,faixa Barcelona,4,0.066,1122
pct_alta_complex,faixa Barcelona,5,0.0,154
pct_alta_complex,faixa Barcelona,6,0.0,110
pct_alta_complex,porte,Médio Porte,0.5163,1749
pct_alta_complex,porte,Grande Porte,0.0689,1320
pct_alta_complex,porte,Especial,0.0,110
mort_all,categoria,Direta,0.0387,284
mort_all,categoria,OSS,0.0,365
mort_all,categoria,Público Municipal,0.0,616
mort_all,categoria,Filantrópico,0.0085,1881
mort_all,categoria,Privado,0.0606,33
mort_all,faixa Barcelona,2,0.0465,473
mort_all,faixa Barcelona,3,0.0053,1320
mort_all,faixa Barcelona,4,0.0,1122
mort_all,faixa Barcelona,5,0.0,154
mort_all,faixa Barcelona,6,0.0,110
mort_all,porte,Médio Porte,0.0132,1749
mort_all,porte,Grande Porte,0.0045,1320
mort_all,porte,Especial,0.0,110
