etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA A,9695,Centro De Referencia Em Molestias Infecciosas,hospital dia (tipo 62),11
ETAPA A,664200,Hospital Dia Santo Amaro,hospital dia (tipo 62),2
ETAPA A,852554,I E Pacheco Servicos Medicos Ltda Caraguatatuba,hospital dia (tipo 62),4
ETAPA A,2027240,Hospital Dia Butanta,hospital dia (tipo 62),8
ETAPA A,2035081,,hospital dia (tipo 62),2
ETAPA A,2040573,Ambulat De Especialidades E Hospital Dia Dr Renato Riggio Jr,hospital dia (tipo 62),11
ETAPA A,2043351,,hospital dia (tipo 62),4
ETAPA A,2058626,Hospital Psiquiatrico Mahatma Gandhi,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2058782,Hospital Psiquiatrico Espirita Bezerra De Menezes P Prudent,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2068974,Pam Varzea Do Carmo Nga 63 Sao Paulo,hospital dia (tipo 62),11
ETAPA A,2069008,Ambulatorio De Especialidades Dr Geraldo Paulo Bourroul,hospital dia (tipo 62),11
ETAPA A,2070766,Caism Dr David Capistrano Da Costa Filho Da Agua Funda Sp,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2077310,Hospital Dia Irmao Altino Saude Mental,hospital dia (tipo 62),7
ETAPA A,2077418,Caism Philippe Pinel Sao Paulo,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2077612,,psiquiátrico (tipo 07 + especialização 006),2
ETAPA A,2078384,Hospital Espirita,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2079763,Casa Cairbar Schutel,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2080117,Hospital Psiquiatrico Allan Kardec Franca Sp,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2080990,Hospital Espirita De Marilia,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2081563,Clinica De Repouso Santa Rosa Espirito Santo Do Pinhal,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2081733,Seara Hospital Psiquiatrico,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2082446,Clinica Nosso Lar Adamantina,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2083159,Bezerra De Menezes Rio Claro,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2084244,Irpsi,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2084317,Clinica Fazenda Palmeiras,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2084384,Instituto Bezerra De Menezes Espirito Santo Do Pinhal,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2085143,Instituto Americo Bairral De Psiquiatria,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2085569,Cvv Francisca Julia,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2089203,,psiquiátrico (tipo 07 + especialização 006),2
ETAPA A,2089432,,psiquiátrico (tipo 07 + especialização 006),1
ETAPA A,2090309,Centro De Atencao Integral A Saude Cantidio De Moura Campos,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2091275,Cais Centro Atencao Integral Saude Santa Rita Passa Quatro,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2091305,H O Redentora Hospital De Olhos,hospital dia (tipo 62),11
ETAPA A,2091542,Ame Ambulatorio Medico De Especialidades Maria Zelia,hospital dia (tipo 62),11
ETAPA A,2091658,Hospital Dia M Boi Mirim I Jardim Ibirapuera,hospital dia (tipo 62),11
ETAPA A,2093405,Inamex Nhandeara,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2097648,Hospital Bezerra De Menezes,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2688514,Hospital Psiquiatrico De Vila Mariana,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2701561,Instituto Jundiaiense Luiz Braille Unidade I,hospital dia (tipo 62),11
ETAPA A,2745356,Clinica Andre Luiz,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2746220,Complexo Hospitalar Juquery Franco Da Rocha,psiquiátrico (tipo 07 + especialização 006),7
ETAPA A,2749033,Centro De Reabilitacao De Casa Branca,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2751852,Hospital Dia Da Rede Hora Certa Vila Prudente,hospital dia (tipo 62),9
ETAPA A,2751860,Unidade Hospitalar Dr Flavio Giannotti,hospital dia (tipo 62),10
ETAPA A,2751925,Hospital Dia Cidade Ademar,hospital dia (tipo 62),9
ETAPA A,2751933,Hospital Dia Penha,hospital dia (tipo 62),11
ETAPA A,2751976,Hospital Dia Sao Miguel Dr Tito Lopes Da Silva,hospital dia (tipo 62),10
ETAPA A,2754908,,CAPS (tipo 70),3
ETAPA A,2790653,Hospital Tereza Perlatti Jau,psiquiátrico (tipo 07 + especialização 006),11
ETAPA A,2855917,,hospital dia (tipo 62),4
ETAPA A,2867257,,hospital dia (tipo 62),3
ETAPA A,3345327,Kaiser Clinica,hospital dia (tipo 62),3
ETAPA A,3346072,,hospital dia (tipo 62),2
ETAPA A,5170958,Iom Hospital Dia,hospital dia (tipo 62),9
ETAPA A,6135749,Hospital Dia Mooca,hospital dia (tipo 62),9
ETAPA A,6136028,Hospital Dia Itaim Paulista,hospital dia (tipo 62),11
ETAPA A,6233848,Ame Ambulatorio Medico De Especialidades De Caraguatatuba,hospital dia (tipo 62),11
ETAPA A,6284582,Ame Piracicaba Dr Oswaldo Cambiaghi,hospital dia (tipo 62),11
ETAPA A,6289304,Ame Ambulatorio Medico De Especialidades Barretos,hospital dia (tipo 62),11
ETAPA A,6391869,Hospital Dia Sao Mateus Dr Henrique Carlos Goncalves,hospital dia (tipo 62),9
ETAPA A,6479200,Ame Dr Luiz Roberto Barradas Barata Sao Paulo,hospital dia (tipo 62),11
ETAPA A,6655416,Ame Santo Andre Dr Newton Da Costa Brandao,hospital dia (tipo 62),11
ETAPA A,6971199,,hospital dia (tipo 62),1
ETAPA A,6998178,Hospital Dia Campo Limpo Jardim Pirajussara,hospital dia (tipo 62),10
ETAPA A,7019076,Hospital Dia Da Rede Hora Certa Brasilandia Fo,hospital dia (tipo 62),11
ETAPA A,7188676,Ame Ambulatorio Medico De Especialidades De Ourinhos,hospital dia (tipo 62),11
ETAPA A,7385978,Unidade Pirituba Cies,hospital dia (tipo 62),9
ETAPA A,7572468,Instituto Da Visao,hospital dia (tipo 62),10
ETAPA A,7979649,Hospital Dia Vila Guilherme,hospital dia (tipo 62),9
