ano,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,n_hospitais,versao,custo_real
2015,0.0383,0.0382,3.983,580.8626,0.0,633,bruto_com_covid,957.1892
2016,0.0422,0.0421,4.0338,562.1211,0.0,615,bruto_com_covid,871.4889
2017,0.0417,0.0417,3.9338,592.2069,0.0,616,bruto_com_covid,891.8238
2018,0.0411,0.0411,3.9369,654.4258,0.0,614,bruto_com_covid,949.9
2019,0.0418,0.0418,3.8847,662.9463,0.0,614,bruto_com_covid,922.5075
2020,0.0504,0.0504,4.1424,952.1454,0.0,677,bruto_com_covid,1267.6385
2021,0.0713,0.0713,4.624,1249.315,0.0,687,bruto_com_covid,1511.244
2022,0.0511,0.0511,4.032,789.7785,0.0,652,bruto_com_covid,903.074
2023,0.0462,0.0462,3.9547,889.506,0.0,633,bruto_com_covid,972.1923
2024,0.0453,0.0453,3.9282,950.0364,0.0,638,bruto_com_covid,990.508
2025,0.0442,0.0442,3.8612,974.3919,0.0,637,bruto_com_covid,974.3919
2015,0.0531,0.053,4.3484,866.1516,0.0024,289,definitivo_com_covid,1427.3099
2016,0.0544,0.0543,4.3873,879.4532,0.0025,289,definitivo_com_covid,1363.4672
2017,0.0551,0.0551,4.359,882.3582,0.0029,289,definitivo_com_covid,1328.7722
2018,0.0537,0.0537,4.2586,903.0089,0.0028,289,definitivo_com_covid,1310.7188
2019,0.0538,0.0538,4.2116,934.2565,0.0024,289,definitivo_com_covid,1300.0429
2020,0.0679,0.0679,4.3962,1201.9528,0.002,289,definitivo_com_covid,1600.2195
2021,0.0827,0.0824,4.7618,1742.9659,0.0023,289,definitivo_com_covid,2108.3928
2022,0.0582,0.0582,4.2914,1176.3708,0.0024,289,definitivo_com_covid,1345.1238
2023,0.0556,0.0556,4.2797,1197.2134,0.0047,289,definitivo_com_covid,1308.5035
2024,0.0572,0.0572,4.2735,1266.8238,0.0052,289,definitivo_com_covid,1320.7905
2025,0.0549,0.0549,4.2765,1283.4592,0.0078,289,definitivo_com_covid,1283.4592
2015,0.0531,0.053,4.3484,866.1516,0.0024,289,definitivo_sem_covid,1427.3099
2016,0.0544,0.0543,4.3873,879.4532,0.0025,289,definitivo_sem_covid,1363.4672
2017,0.0551,0.0551,4.359,882.3582,0.0029,289,definitivo_sem_covid,1328.7722
2018,0.0537,0.0537,4.2586,903.0089,0.0028,289,definitivo_sem_covid,1310.7188
2019,0.0538,0.0538,4.2116,934.2565,0.0024,289,definitivo_sem_covid,1300.0429
2020,0.0585,0.0585,4.2528,1023.0168,0.0022,289,definitivo_sem_covid,1361.9931
2021,0.0628,0.0627,4.1861,1050.4287,0.0026,289,definitivo_sem_covid,1270.6596
2022,0.0582,0.0582,4.2914,1176.3708,0.0024,289,definitivo_sem_covid,1345.1238
2023,0.0556,0.0556,4.2797,1197.2134,0.0047,289,definitivo_sem_covid,1308.5035
2024,0.0572,0.0572,4.2735,1266.8238,0.0052,289,definitivo_sem_covid,1320.7905
2025,0.0549,0.0549,4.2765,1283.4592,0.0078,289,definitivo_sem_covid,1283.4592
