,mort_all,mort_all,mort_all,mort_all,mort_all,mort_all,mort_all,mort_all,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,tmp,tmp,tmp,tmp,tmp,tmp,tmp,tmp,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,custo_real,custo_real,custo_real,custo_real,custo_real,custo_real,custo_real,custo_real,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
ano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,289.0,0.0514,0.0267,0.0,0.0357,0.0531,0.0652,0.1546,289.0,0.0514,0.0267,0.0,0.0357,0.053,0.0651,0.1546,289.0,4.7589,2.2388,1.4291,3.3511,4.3484,5.6396,24.7876,289.0,1225.1754,1623.9233,310.4698,530.9586,866.1516,1210.3429,18635.8625,289.0,0.0683,0.1543,0.0,0.0,0.0024,0.059,1.0,289.0,2018.9364,2676.0232,511.6155,874.9536,1427.3098,1994.4943,30709.5784,289.0,67.9837,27.0612,0.5287,44.732,70.1788,90.6304,152.3288,289.0,52.0691,35.2914,0.0,0.0,64.8683,80.5335,100.7382
2016,289.0,0.0535,0.0278,0.0003,0.0357,0.0544,0.0653,0.1523,289.0,0.0535,0.0279,0.0,0.0357,0.0543,0.0653,0.1523,289.0,4.7391,2.1563,1.4216,3.3758,4.3873,5.6539,24.7514,289.0,1247.2375,1608.7942,280.2923,548.2228,879.4532,1267.2965,18031.8383,289.0,0.071,0.1572,0.0,0.0,0.0025,0.0776,1.0,289.0,1933.6644,2494.2067,434.5534,849.9416,1363.4671,1964.7631,27955.8019,289.0,69.2332,27.1501,7.8207,47.5068,71.7212,91.0022,146.6926,289.0,53.4645,36.2316,0.0,0.0,65.6438,82.7187,105.4599
2017,289.0,0.0521,0.0279,0.0,0.0343,0.0551,0.0665,0.1689,289.0,0.0521,0.0279,0.0,0.0343,0.0551,0.0665,0.1689,289.0,4.6659,1.8504,1.5392,3.4335,4.359,5.5275,14.2762,289.0,1317.629,2117.389,324.3329,579.279,882.3582,1299.219,27887.5977,289.0,0.0731,0.1564,0.0,0.0,0.0029,0.088,1.0,289.0,1984.2608,3188.6456,488.4236,872.3553,1328.7721,1956.5365,41996.8488,289.0,69.6982,26.5145,2.893,49.9702,72.619,92.6125,147.8075,289.0,53.6791,35.8514,0.0,0.2169,67.0175,82.1062,105.4207
2018,289.0,0.0518,0.0281,0.0,0.0323,0.0537,0.0663,0.1853,289.0,0.0518,0.0281,0.0,0.0323,0.0537,0.0662,0.1853,289.0,4.6037,1.8567,1.3181,3.4795,4.2586,5.3221,16.8345,289.0,1299.0353,1897.3855,315.9665,607.2465,903.0089,1335.3239,24991.3379,289.0,0.0719,0.1475,0.0,0.0,0.0028,0.087,1.0,289.0,1885.5517,2754.058,458.6259,881.4192,1310.7188,1938.2247,36274.9649,289.0,71.3227,27.3235,7.5226,50.0211,73.5496,93.5609,150.3033,289.0,53.5813,35.7515,0.0,4.8402,64.9676,84.2661,103.0137
2019,289.0,0.0526,0.0289,0.0,0.0346,0.0538,0.067,0.1758,289.0,0.0525,0.0289,0.0,0.0346,0.0538,0.067,0.1758,289.0,4.5476,1.7977,1.2728,3.426,4.2116,5.3549,15.5262,289.0,1265.9956,1472.0961,312.92,650.4477,934.2565,1368.5864,16580.383,289.0,0.0743,0.1526,0.0,0.0,0.0024,0.0909,1.0,289.0,1761.6667,2048.461,435.4366,905.1153,1300.0428,1904.4245,23072.046,289.0,72.1889,27.5463,3.9601,53.0039,74.3252,94.2542,150.8362,289.0,54.2098,35.2471,0.0,9.8082,67.0685,81.2877,100.6849
2020,289.0,0.0591,0.0305,0.0,0.0404,0.0585,0.0771,0.1617,289.0,0.0591,0.0305,0.0,0.0404,0.0585,0.0771,0.1617,289.0,4.6253,1.9548,1.2308,3.4415,4.2528,5.4969,17.8327,289.0,1370.9443,1488.1626,295.9029,710.3828,1023.0168,1497.6269,15525.2602,289.0,0.0767,0.1601,0.0,0.0,0.0022,0.0841,1.0,289.0,1825.2063,1981.2649,393.9503,945.7679,1361.9931,1993.8652,20669.5506,289.0,64.9082,30.1234,0.3985,41.1597,64.5184,87.1116,209.1639,289.0,64.5646,52.5465,0.0,12.8767,74.364,90.1581,561.6438
2021,289.0,0.0622,0.0313,0.0,0.0445,0.0628,0.0795,0.183,289.0,0.0622,0.0313,0.0,0.0445,0.0627,0.0791,0.183,289.0,4.6612,1.9481,0.0,3.4971,4.1861,5.5346,16.5393,289.0,1433.4522,1475.8077,269.3841,725.6016,1050.4287,1622.6314,14427.2944,289.0,0.0792,0.1682,0.0,0.0,0.0026,0.084,1.0,289.0,1733.9871,1785.2227,325.8627,877.7298,1270.6596,1962.8292,17452.0936,289.0,72.1237,30.5362,0.1494,49.9836,72.6575,90.9589,236.6088,289.0,90.912,87.0586,0.0,34.6771,86.1057,123.9178,875.2055
2022,289.0,0.0581,0.0312,0.0,0.041,0.0582,0.0753,0.2031,289.0,0.0581,0.0312,0.0,0.041,0.0582,0.0753,0.2031,289.0,4.7475,1.9313,1.3791,3.5623,4.2914,5.6399,16.2119,289.0,1515.4558,1519.2092,301.1482,851.2895,1176.3708,1736.5994,17988.888,289.0,0.0761,0.1548,0.0,0.0,0.0024,0.0849,1.0,289.0,1732.8513,1737.1432,344.3486,973.4089,1345.1238,1985.7185,20569.4339,289.0,68.7993,28.4858,1.071,48.1029,68.3893,90.9932,199.4664,289.0,53.9369,31.9806,0.0,32.5538,61.696,78.0548,116.1096
2023,289.0,0.056,0.0318,0.0,0.0366,0.0556,0.0729,0.2382,289.0,0.056,0.0318,0.0,0.0366,0.0556,0.0726,0.2382,289.0,4.6856,1.8214,1.4898,3.4947,4.2797,5.4676,12.6806,289.0,1585.7771,1624.783,306.2646,914.6638,1197.2134,1817.7483,17738.3015,289.0,0.0766,0.1535,0.0,0.0,0.0047,0.0887,1.0,289.0,1733.1871,1775.8188,334.7342,999.6888,1308.5034,1986.7218,19387.2111,289.0,72.2038,27.811,8.543,50.9173,74.8387,94.5045,137.116,289.0,58.7044,32.3785,0.0,45.1468,69.8082,83.1164,110.7306
2024,289.0,0.0564,0.0328,0.0,0.0373,0.0572,0.0702,0.2262,289.0,0.0563,0.0328,0.0,0.0373,0.0572,0.0702,0.2262,289.0,4.6132,1.7649,1.4769,3.4362,4.2735,5.4344,11.8315,289.0,1715.257,1862.6413,315.834,930.4693,1266.8238,1931.5958,20253.3692,289.0,0.0823,0.1553,0.0,0.0,0.0052,0.1081,1.0,289.0,1788.3269,1941.9898,329.2885,970.1073,1320.7905,2013.8817,21116.1627,289.0,74.9427,28.3763,9.2048,53.7221,75.6513,96.4444,181.0589,289.0,60.8808,33.1947,0.0,44.7906,72.6712,84.6936,129.7065
2025,289.0,0.0544,0.0318,0.0,0.0378,0.0549,0.0696,0.2602,289.0,0.0544,0.0318,0.0,0.0377,0.0549,0.0696,0.2602,289.0,4.5433,1.7395,1.2253,3.3955,4.2765,5.4303,13.8019,289.0,1769.0701,1886.6911,292.3047,977.0697,1283.4592,1988.9338,18588.7747,289.0,0.0851,0.1602,0.0,0.0,0.0078,0.1175,1.0,289.0,1769.0701,1886.6911,292.3047,977.0697,1283.4592,1988.9338,18588.7747,289.0,75.848,27.3993,12.3996,55.529,78.5498,97.9085,161.1169,289.0,62.1932,33.3508,0.0,50.0091,73.5342,86.758,104.5662
