,mort_all,mort_all,mort_all,mort_all,mort_all,mort_all,mort_all,mort_all,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,mort_sem_excl,tmp,tmp,tmp,tmp,tmp,tmp,tmp,tmp,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,custo_saida,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,pct_alta_complex,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_internacao,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti,ocupacao_uti
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
ano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,633.0,0.0408,0.0367,0.0,0.0074,0.0383,0.0599,0.2941,633.0,0.0408,0.0367,0.0,0.0074,0.0382,0.0599,0.2941,633.0,6.603,7.4418,0.0,2.9615,3.983,5.8181,37.8357,633.0,968.3336,1297.6984,74.3472,416.2705,580.8626,1061.1092,18635.8625,633.0,0.0546,0.1644,0.0,0.0,0.0,0.0088,1.0,633.0,53.8368,53.0876,0.0,26.2387,51.272,80.143,1103.9726,633.0,25.8734,35.8573,0.0,0.0,0.0,64.6575,100.7382
2016,615.0,0.0436,0.0383,0.0,0.0075,0.0422,0.0631,0.375,615.0,0.0436,0.0383,0.0,0.0075,0.0421,0.0631,0.375,615.0,6.3543,7.1733,0.0,3.0113,4.0338,5.7479,38.0648,615.0,962.5616,1266.106,44.22,419.0273,562.1211,1073.3679,18031.8383,615.0,0.0587,0.1667,0.0,0.0,0.0,0.0129,1.0,615.0,54.1914,54.7903,0.0,25.3101,50.4705,80.2828,1126.3014,615.0,27.1092,36.9658,0.0,0.0,0.0,65.6507,105.4599
2017,616.0,0.0421,0.0351,0.0,0.0067,0.0417,0.062,0.1845,616.0,0.042,0.0351,0.0,0.0067,0.0417,0.062,0.1845,616.0,6.0996,7.0148,0.0,2.9363,3.9338,5.5269,37.7315,616.0,995.9192,1558.036,44.22,419.669,592.2069,1082.9031,27887.5977,616.0,0.0584,0.1656,0.0,0.0,0.0,0.0167,1.0,616.0,53.2066,54.3551,0.0,24.7586,49.7976,81.69,1116.4384,616.0,27.3427,36.9738,0.0,0.0,0.0,67.4437,105.4207
2018,614.0,0.0424,0.0363,0.0,0.008,0.0411,0.0616,0.2037,614.0,0.0424,0.0363,0.0,0.008,0.0411,0.0616,0.2037,614.0,6.0107,6.9067,0.0,2.8879,3.9369,5.3995,38.3706,614.0,1073.6706,2137.9553,68.0701,430.8123,654.4258,1143.0458,40767.205,614.0,0.0637,0.1714,0.0,0.0,0.0,0.0272,1.0,614.0,53.2147,48.0559,0.0,24.5014,49.5035,82.4182,893.5616,614.0,26.9327,36.6016,0.0,0.0,0.0,64.5908,103.0137
2019,614.0,0.0426,0.0355,0.0,0.0086,0.0418,0.0624,0.1758,614.0,0.0426,0.0355,0.0,0.0086,0.0418,0.0624,0.1758,614.0,5.7461,6.5751,0.0,2.9521,3.8847,5.2622,37.597,614.0,1013.486,1248.6775,51.1636,431.0083,662.9463,1182.3236,16580.383,614.0,0.0639,0.1692,0.0,0.0,0.0,0.0238,1.0,614.0,53.6009,43.0882,0.0,23.4755,51.3512,83.9378,690.137,614.0,27.2187,36.6227,0.0,0.0,0.0,66.9849,100.6849
2020,677.0,0.0579,0.0625,0.0,0.0096,0.0504,0.0813,0.8095,677.0,0.0579,0.0625,0.0,0.0096,0.0504,0.0813,0.8095,677.0,5.7429,6.0862,0.0,2.9693,4.1424,5.7341,40.5294,677.0,1284.1567,1631.5084,79.73,498.4447,952.1454,1508.447,20179.5491,677.0,0.0601,0.1729,0.0,0.0,0.0,0.0097,1.0,677.0,48.376,118.083,0.0,15.4338,38.195,70.7802,2975.8904,677.0,29.4272,47.1066,0.0,0.0,0.0,68.5845,561.6438
2021,687.0,0.0753,0.0663,0.0,0.0217,0.0713,0.1023,0.5126,687.0,0.0753,0.0663,0.0,0.0217,0.0713,0.1023,0.5126,687.0,6.1352,5.9504,0.0,3.455,4.624,6.043,40.9583,687.0,1820.7061,2410.8232,52.5603,669.0442,1249.315,2110.3804,30887.992,687.0,0.0568,0.1637,0.0,0.0,0.0,0.0073,1.0,687.0,53.6197,48.2806,0.0,19.7679,48.9711,79.9604,655.6164,687.0,40.7963,72.4652,0.0,0.0,0.0,79.2081,875.2055
2022,652.0,0.0569,0.0683,0.0,0.0131,0.0511,0.0752,1.0,652.0,0.0569,0.0683,0.0,0.0131,0.0511,0.0752,1.0,652.0,5.6643,5.9492,0.0,2.9697,4.032,5.659,30.4091,652.0,1132.8303,1264.8443,43.7023,448.0247,789.7785,1349.1993,17988.888,652.0,0.0636,0.1689,0.0,0.0,0.0,0.0179,1.0,652.0,48.1977,34.1415,0.0,18.5445,46.6253,74.5861,199.4664,652.0,26.2964,34.5995,0.0,0.0,0.0,59.6747,116.1096
2023,633.0,0.0477,0.0418,0.0,0.0085,0.0462,0.069,0.2567,633.0,0.0477,0.0418,0.0,0.0085,0.0462,0.069,0.2567,633.0,5.6024,5.9495,0.0,2.9292,3.9547,5.4952,30.3782,633.0,1223.7042,1438.561,113.7325,473.6176,889.506,1441.93,17738.3015,633.0,0.0695,0.1809,0.0,0.0,0.0,0.0271,1.0,633.0,53.1555,34.6984,0.0,23.788,51.3699,82.6367,237.0776,633.0,29.6218,36.9205,0.0,0.0,0.0,68.8356,110.7306
2024,638.0,0.0469,0.042,0.0,0.0078,0.0453,0.0675,0.2735,638.0,0.0468,0.042,0.0,0.0078,0.0453,0.0675,0.2735,638.0,5.417,5.7821,0.0,2.9066,3.9282,5.4359,30.5,638.0,1316.8361,1594.9911,44.22,480.4683,950.0364,1506.2258,20253.3692,638.0,0.0713,0.1784,0.0,0.0,0.0,0.0385,1.0,638.0,55.3038,37.406,0.0,25.8688,54.2027,85.3334,329.589,638.0,30.5686,38.015,0.0,0.0,0.0,71.1336,129.7065
2025,637.0,0.0459,0.0423,0.0,0.0099,0.0442,0.0668,0.3135,637.0,0.0459,0.0423,0.0,0.0099,0.0442,0.0668,0.3135,637.0,5.2831,5.6283,0.0,2.8226,3.8612,5.4514,30.4167,637.0,1304.1487,1499.9489,67.5678,492.8462,974.3919,1532.1664,18588.7747,637.0,0.0717,0.1759,0.0,0.0,0.0,0.0385,1.0,637.0,56.1952,37.1487,0.0,26.5753,55.529,83.8503,333.0594,637.0,31.3011,38.5661,0.0,0.0,0.0,72.3288,104.5662
