indicador,coorte,ano,evento,n_tratados,att
Mortalidade geral,2019,2019,0,1,-0.87766
Mortalidade geral,2019,2020,1,1,-2.21699
Mortalidade geral,2019,2021,2,1,-2.9918
Mortalidade geral,2019,2022,3,1,-3.07918
Mortalidade geral,2019,2023,4,1,-2.64366
Mortalidade geral,2019,2024,5,1,-2.36669
Mortalidade geral,2019,2025,6,1,-1.66096
Mortalidade geral,2023,2023,0,1,-1.61722
Mortalidade geral,2023,2024,1,1,-1.80588
Mortalidade geral,2023,2025,2,1,-1.56946
Mortalidade geral,2025,2025,0,3,-1.32412
TMP,2019,2019,0,1,-0.13592
TMP,2019,2020,1,1,-0.20915
TMP,2019,2021,2,1,-0.22735
TMP,2019,2022,3,1,-0.2984
TMP,2019,2023,4,1,-0.26091
TMP,2019,2024,5,1,-0.29749
TMP,2019,2025,6,1,-0.3401
TMP,2023,2023,0,1,-0.08114
TMP,2023,2024,1,1,-0.10215
TMP,2023,2025,2,1,-0.08229
TMP,2025,2025,0,3,-0.16903
Faturamento real por saída,2019,2019,0,1,-0.07085
Faturamento real por saída,2019,2020,1,1,-0.07087
Faturamento real por saída,2019,2021,2,1,-0.09861
Faturamento real por saída,2019,2022,3,1,-0.06617
Faturamento real por saída,2019,2023,4,1,-0.13975
Faturamento real por saída,2019,2024,5,1,-0.21287
Faturamento real por saída,2019,2025,6,1,-0.12576
Faturamento real por saída,2023,2023,0,1,-0.17977
Faturamento real por saída,2023,2024,1,1,-0.13125
Faturamento real por saída,2023,2025,2,1,-0.29564
Faturamento real por saída,2025,2025,0,3,-0.00568
Fração alta complexidade,2019,2019,0,1,-0.24831
Fração alta complexidade,2019,2020,1,1,0.97342
Fração alta complexidade,2019,2021,2,1,-0.55865
Fração alta complexidade,2019,2022,3,1,0.72202
Fração alta complexidade,2019,2023,4,1,1.20064
Fração alta complexidade,2019,2024,5,1,0.55011
Fração alta complexidade,2019,2025,6,1,2.00397
Fração alta complexidade,2023,2023,0,1,-4.66527
Fração alta complexidade,2023,2024,1,1,-4.16014
Fração alta complexidade,2023,2025,2,1,-4.6085
Fração alta complexidade,2025,2025,0,3,1.00138
Ocupação internação,2019,2019,0,1,0.09952
Ocupação internação,2019,2020,1,1,0.13822
Ocupação internação,2019,2021,2,1,-0.0232
Ocupação internação,2019,2022,3,1,0.01584
Ocupação internação,2019,2023,4,1,0.00098
Ocupação internação,2019,2024,5,1,-0.01603
Ocupação internação,2019,2025,6,1,-0.01975
Ocupação internação,2023,2023,0,1,0.56676
Ocupação internação,2023,2024,1,1,0.84383
Ocupação internação,2023,2025,2,1,0.59453
Ocupação internação,2025,2025,0,3,-0.03929
