,coeficiente,ep_cluster,z,p_valor
constante,7.37751,0.04851,152.07053,0.0
Filantrópico,-0.02077,0.04769,-0.43548,0.66321
OSS,-0.06962,0.09503,-0.73261,0.46379
Privado,1.13525,0.03596,31.57072,0.0
Público Municipal,-0.11811,0.04795,-2.46334,0.01376
ano 2016,-0.04183,0.00609,-6.87011,0.0
ano 2017,-0.04396,0.00918,-4.79104,0.0
ano 2018,-0.06946,0.01091,-6.36711,0.0
ano 2019,-0.1039,0.01209,-8.59329,0.0
ano 2020,-0.07006,0.01307,-5.35814,0.0
ano 2021,-0.11706,0.01703,-6.87299,0.0
ano 2022,-0.10827,0.01725,-6.2775,0.0
ano 2023,-0.11331,0.01876,-6.03866,0.0
ano 2024,-0.10945,0.01972,-5.55037,0.0
ano 2025,-0.12373,0.02164,-5.71767,0.0
R2,0.94277,,,
N,3452.0,,,
