,coeficiente,ep_cluster,z,p_valor
constante,7.36469,0.05008,147.06337,0.0
Filantrópico,-0.00448,0.04935,-0.0908,0.92765
OSS,-0.06477,0.09822,-0.65944,0.50961
Privado,1.16935,0.03721,31.42664,0.0
Público Municipal,-0.1078,0.04961,-2.17291,0.02979
ano 2016,-0.04183,0.00616,-6.79269,0.0
ano 2017,-0.04396,0.00928,-4.73705,0.0
ano 2018,-0.06946,0.01103,-6.29536,0.0
ano 2019,-0.10392,0.01223,-8.49731,0.0
ano 2022,-0.10829,0.01745,-6.20693,0.0
ano 2023,-0.11334,0.01898,-5.97076,0.0
ano 2024,-0.10948,0.01995,-5.48796,0.0
ano 2025,-0.12381,0.0219,-5.65387,0.0
R2,0.94163,,,
N,2826.0,,,
