amostra,indicador,unidade,termo,coef,ep_cluster,p_valor
completa,Mortalidade geral,p.p.,-5 ou antes,-0.96832,1.08271,0.37114
completa,Mortalidade geral,p.p.,-4,-1.11569,0.633,0.07798
completa,Mortalidade geral,p.p.,-3,0.68996,0.48339,0.15349
completa,Mortalidade geral,p.p.,-2,0.13791,0.27187,0.61196
completa,Mortalidade geral,p.p.,0,-1.29602,0.46188,0.00502
completa,Mortalidade geral,p.p.,+1,-2.64234,0.47854,0.0
completa,Mortalidade geral,p.p.,+2,-2.90988,0.3471,0.0
completa,Mortalidade geral,p.p.,+3 ou depois,-2.22659,0.23187,0.0
completa,TMP,log pontos,-5 ou antes,-0.17382,0.10805,0.10768
completa,TMP,log pontos,-4,-0.15601,0.08603,0.06975
completa,TMP,log pontos,-3,-0.04361,0.03456,0.20697
completa,TMP,log pontos,-2,0.00667,0.02336,0.77529
completa,TMP,log pontos,0,-0.14476,0.0496,0.00352
completa,TMP,log pontos,+1,-0.2465,0.04297,0.0
completa,TMP,log pontos,+2,-0.24533,0.03776,0.0
completa,TMP,log pontos,+3 ou depois,-0.28269,0.03001,0.0
completa,Faturamento real por saída,log pontos,-5 ou antes,-0.10579,0.12151,0.38393
completa,Faturamento real por saída,log pontos,-4,-0.0234,0.10315,0.82058
completa,Faturamento real por saída,log pontos,-3,-0.00287,0.05721,0.95998
completa,Faturamento real por saída,log pontos,-2,0.05016,0.03332,0.13219
completa,Faturamento real por saída,log pontos,0,-0.05396,0.04021,0.17967
completa,Faturamento real por saída,log pontos,+1,-0.17354,0.08638,0.04453
completa,Faturamento real por saída,log pontos,+2,-0.26954,0.13201,0.04117
completa,Faturamento real por saída,log pontos,+3 ou depois,-0.14521,0.04339,0.00082
completa,Fração alta complexidade,p.p.,-5 ou antes,0.47451,0.82893,0.56702
completa,Fração alta complexidade,p.p.,-4,0.34726,0.28133,0.21708
completa,Fração alta complexidade,p.p.,-3,1.11819,0.61098,0.06723
completa,Fração alta complexidade,p.p.,-2,1.47666,0.85793,0.08522
completa,Fração alta complexidade,p.p.,0,-0.39476,1.22085,0.74643
completa,Fração alta complexidade,p.p.,+1,-1.42206,1.83308,0.43788
completa,Fração alta complexidade,p.p.,+2,-2.428,1.44366,0.0926
completa,Fração alta complexidade,p.p.,+3 ou depois,0.844,0.45688,0.0647
completa,Ocupação internação,log pontos,-5 ou antes,0.08359,0.09686,0.38815
completa,Ocupação internação,log pontos,-4,-0.05177,0.14545,0.72187
completa,Ocupação internação,log pontos,-3,-0.02634,0.12533,0.83353
completa,Ocupação internação,log pontos,-2,0.07104,0.01489,0.0
completa,Ocupação internação,log pontos,0,0.11035,0.11087,0.31959
completa,Ocupação internação,log pontos,+1,0.38996,0.22873,0.08822
completa,Ocupação internação,log pontos,+2,0.18552,0.19887,0.3509
completa,Ocupação internação,log pontos,+3 ou depois,0.0307,0.09681,0.75112
suporte comum,Mortalidade geral,p.p.,-5 ou antes,-1.38454,1.39325,0.32034
suporte comum,Mortalidade geral,p.p.,-4,-1.28014,1.00527,0.20287
suporte comum,Mortalidade geral,p.p.,-3,1.36212,0.44525,0.00222
suporte comum,Mortalidade geral,p.p.,-2,0.41784,0.3442,0.22477
suporte comum,Mortalidade geral,p.p.,0,-2.04539,0.21114,0.0
suporte comum,Mortalidade geral,p.p.,+1,-3.54334,0.78483,1e-05
suporte comum,Mortalidade geral,p.p.,+2,-3.39721,0.78852,2e-05
suporte comum,TMP,log pontos,-5 ou antes,-0.16857,0.15499,0.27679
suporte comum,TMP,log pontos,-4,-0.20889,0.12834,0.1036
suporte comum,TMP,log pontos,-3,-0.02723,0.04487,0.544
suporte comum,TMP,log pontos,-2,0.02762,0.00901,0.00217
suporte comum,TMP,log pontos,0,-0.20541,0.05457,0.00017
suporte comum,TMP,log pontos,+1,-0.32052,0.0896,0.00035
suporte comum,TMP,log pontos,+2,-0.30926,0.08997,0.00059
suporte comum,Faturamento real por saída,log pontos,-5 ou antes,-0.13734,0.14645,0.34837
suporte comum,Faturamento real por saída,log pontos,-4,-0.08058,0.14675,0.58297
suporte comum,Faturamento real por saída,log pontos,-3,-0.02078,0.08114,0.7979
suporte comum,Faturamento real por saída,log pontos,-2,0.06845,0.03393,0.0437
suporte comum,Faturamento real por saída,log pontos,0,-0.10502,0.03559,0.00317
suporte comum,Faturamento real por saída,log pontos,+1,-0.34235,0.08678,8e-05
suporte comum,Faturamento real por saída,log pontos,+2,-0.52037,0.08699,0.0
suporte comum,Fração alta complexidade,p.p.,-5 ou antes,0.4414,1.08026,0.68283
suporte comum,Fração alta complexidade,p.p.,-4,0.78649,0.33011,0.01719
suporte comum,Fração alta complexidade,p.p.,-3,1.52631,0.97281,0.11665
suporte comum,Fração alta complexidade,p.p.,-2,2.30402,1.29338,0.07485
suporte comum,Fração alta complexidade,p.p.,0,-0.47933,2.06173,0.81616
suporte comum,Fração alta complexidade,p.p.,+1,-3.86793,0.38585,0.0
suporte comum,Fração alta complexidade,p.p.,+2,-4.29541,0.41468,0.0
suporte comum,Ocupação internação,log pontos,-5 ou antes,0.0649,0.1559,0.67721
suporte comum,Ocupação internação,log pontos,-4,-0.12506,0.23586,0.59594
suporte comum,Ocupação internação,log pontos,-3,-0.1497,0.17957,0.40446
suporte comum,Ocupação internação,log pontos,-2,0.06306,0.01103,0.0
suporte comum,Ocupação internação,log pontos,0,0.18635,0.16756,0.26608
suporte comum,Ocupação internação,log pontos,+1,0.61732,0.12903,0.0
suporte comum,Ocupação internação,log pontos,+2,0.37654,0.12989,0.00375
