amostra,indicador,unidade,termo,coef,ep_cluster,p_valor
completa,Mortalidade geral,p.p.,-5 ou antes,-1.11164,1.2012,0.35474
completa,Mortalidade geral,p.p.,-4,-1.40474,0.43146,0.00113
completa,Mortalidade geral,p.p.,-3,0.73678,0.63301,0.24445
completa,Mortalidade geral,p.p.,-2,0.3981,0.56189,0.47864
completa,Mortalidade geral,p.p.,0,-1.29938,0.4686,0.00556
completa,Mortalidade geral,p.p.,+1,-3.55473,0.76663,0.0
completa,Mortalidade geral,p.p.,+2,-3.32825,0.76549,1e-05
completa,Mortalidade geral,p.p.,+3 ou depois,-2.01333,0.18484,0.0
completa,TMP,log pontos,-5 ou antes,-0.17938,0.11195,0.1091
completa,TMP,log pontos,-4,-0.17303,0.04768,0.00028
completa,TMP,log pontos,-3,-0.00414,0.06966,0.9526
completa,TMP,log pontos,-2,0.07253,0.0708,0.30562
completa,TMP,log pontos,0,-0.14486,0.05025,0.00394
completa,TMP,log pontos,+1,-0.35992,0.07011,0.0
completa,TMP,log pontos,+2,-0.34042,0.07048,0.0
completa,TMP,log pontos,+3 ou depois,-0.24674,0.03246,0.0
completa,Custo real por saída,log pontos,-5 ou antes,-0.14568,0.12597,0.24747
completa,Custo real por saída,log pontos,-4,-0.01816,0.04554,0.69009
completa,Custo real por saída,log pontos,-3,0.00296,0.06257,0.96224
completa,Custo real por saída,log pontos,-2,0.07313,0.05398,0.1755
completa,Custo real por saída,log pontos,0,-0.04906,0.04142,0.23633
completa,Custo real por saída,log pontos,+1,-0.30865,0.0765,5e-05
completa,Custo real por saída,log pontos,+2,-0.46646,0.07681,0.0
completa,Custo real por saída,log pontos,+3 ou depois,-0.07026,0.02996,0.01904
completa,Fração alta complexidade,p.p.,-5 ou antes,0.3779,0.8958,0.67313
completa,Fração alta complexidade,p.p.,-4,0.56363,0.70928,0.42682
completa,Fração alta complexidade,p.p.,-3,0.0994,0.40293,0.80513
completa,Fração alta complexidade,p.p.,-2,0.21061,0.3804,0.57981
completa,Fração alta complexidade,p.p.,0,-0.38068,1.22953,0.75686
completa,Fração alta complexidade,p.p.,+1,-2.76321,0.50655,0.0
completa,Fração alta complexidade,p.p.,+2,-3.2234,0.53565,0.0
completa,Fração alta complexidade,p.p.,+3 ou depois,1.18466,0.40729,0.00363
completa,Ocupação internação,log pontos,-5 ou antes,0.09724,0.10064,0.33395
completa,Ocupação internação,log pontos,-4,-0.00135,0.06397,0.98311
completa,Ocupação internação,log pontos,-3,-0.00841,0.15248,0.95603
completa,Ocupação internação,log pontos,-2,0.12016,0.05835,0.03947
completa,Ocupação internação,log pontos,0,0.11006,0.11317,0.3308
completa,Ocupação internação,log pontos,+1,0.62314,0.07581,0.0
completa,Ocupação internação,log pontos,+2,0.3743,0.07684,0.0
completa,Ocupação internação,log pontos,+3 ou depois,-0.01459,0.0644,0.82078
