,componente,coeficiente,ep_cluster,z,p_valor
constante,média Beta,-3.22922,0.17515,-18.43649,0.0
Filantrópico,média Beta,0.19878,0.17045,1.16626,0.24351
OSS,média Beta,-0.22368,0.13107,-1.70653,0.08791
Privado,média Beta,-0.33071,0.34609,-0.95555,0.3393
Público Municipal,média Beta,0.03914,0.18702,0.20926,0.83424
porte Especial,média Beta,-0.45396,0.36988,-1.2273,0.21971
porte Grande Porte,média Beta,0.16154,0.10677,1.51295,0.13029
ano 2016,média Beta,0.01844,0.01476,1.2492,0.21159
ano 2017,média Beta,0.01453,0.02038,0.71303,0.47583
ano 2018,média Beta,0.01376,0.02061,0.6674,0.50452
ano 2019,média Beta,0.02123,0.02123,1.00009,0.31727
ano 2020,média Beta,0.1365,0.01898,7.19068,0.0
ano 2021,média Beta,0.17863,0.02486,7.18681,0.0
ano 2022,média Beta,0.09991,0.01936,5.16,0.0
ano 2023,média Beta,0.07071,0.02207,3.20345,0.00136
ano 2024,média Beta,0.07118,0.02292,3.10542,0.0019
ano 2025,média Beta,0.02895,0.02339,1.23753,0.21589
complexidade estrutural,média Beta,0.00052,0.00025,2.10906,0.03494
média OSS (Mundlak),média Beta,0.16822,0.22708,0.74079,0.45882
ln precisão,média Beta,3.77064,0.09544,39.50731,0.0
constante,logito do zero,-0.30462,0.8994,-0.33869,0.73484
Filantrópico,logito do zero,-1.37039,1.05817,-1.29506,0.1953
Privado,logito do zero,-1.55285,1.28193,-1.21134,0.22577
porte Especial,logito do zero,-0.01674,5.36893,-0.00312,0.99751
porte Grande Porte,logito do zero,1.03543,0.768,1.34821,0.17759
ano 2016,logito do zero,-7.44262,0.71283,-10.44095,0.0
ano 2017,logito do zero,0.43883,0.79836,0.54966,0.58255
ano 2018,logito do zero,0.43883,0.78397,0.55975,0.57565
ano 2019,logito do zero,0.43883,1.02381,0.42862,0.6682
ano 2020,logito do zero,-0.66539,0.74835,-0.88915,0.37392
ano 2021,logito do zero,0.06745,1.1045,0.06107,0.9513
ano 2022,logito do zero,0.43883,0.78277,0.5606,0.57507
ano 2023,logito do zero,0.76482,0.80944,0.94487,0.34472
ano 2024,logito do zero,0.76482,0.80944,0.94487,0.34472
ano 2025,logito do zero,-0.00406,0.765,-0.00531,0.99576
complexidade estrutural,logito do zero,-0.03043,0.01045,-2.91315,0.00358
