,componente,coeficiente,ep_cluster,z,p_valor
constante,média Beta,-3.3213,0.16413,-20.23565,0.0
Filantrópico,média Beta,0.27113,0.16008,1.69377,0.09031
OSS,média Beta,-0.2265,0.12063,-1.87755,0.06044
Privado,média Beta,-0.19786,0.31286,-0.63243,0.52711
Público Municipal,média Beta,0.07374,0.18107,0.40727,0.68381
porte Especial,média Beta,-0.41382,0.34241,-1.20854,0.22684
porte Grande Porte,média Beta,0.20634,0.10264,2.01043,0.04439
ano 2016,média Beta,0.01289,0.01413,0.91218,0.36168
ano 2017,média Beta,0.00754,0.01926,0.39148,0.69544
ano 2018,média Beta,0.00608,0.01939,0.31368,0.75377
ano 2019,média Beta,0.00818,0.02035,0.40213,0.68759
ano 2022,média Beta,0.08755,0.01882,4.65285,0.0
ano 2023,média Beta,0.0594,0.02124,2.79702,0.00516
ano 2024,média Beta,0.06191,0.02187,2.83036,0.00465
ano 2025,média Beta,0.01793,0.0229,0.78314,0.43354
complexidade estrutural,média Beta,0.00052,0.00024,2.19066,0.02848
longa permanência,média Beta,-1.38611,0.1833,-7.56177,0.0
média OSS (Mundlak),média Beta,0.25477,0.21684,1.17492,0.24003
ln precisão,média Beta,3.73447,0.09005,41.47199,0.0
constante,logito do zero,-0.78619,0.63735,-1.23354,0.21737
Filantrópico,logito do zero,-0.57764,0.69585,-0.83012,0.40647
Privado,logito do zero,-1.59629,0.97793,-1.63231,0.10261
porte Especial,logito do zero,-0.01631,2.18975,-0.00745,0.99406
porte Grande Porte,logito do zero,1.62526,0.58055,2.7995,0.00512
ano 2016,logito do zero,-0.96722,0.74751,-1.29393,0.19569
ano 2017,logito do zero,0.39856,0.55316,0.72052,0.4712
ano 2018,logito do zero,0.22003,0.54916,0.40067,0.68866
ano 2019,logito do zero,-0.23108,0.74524,-0.31007,0.75651
ano 2022,logito do zero,0.01959,0.63676,0.03076,0.97546
ano 2023,logito do zero,0.22003,0.55067,0.39957,0.68947
ano 2024,logito do zero,0.01959,0.63686,0.03075,0.97547
ano 2025,logito do zero,-0.53966,0.69476,-0.77675,0.43731
complexidade estrutural,logito do zero,-0.02248,0.00413,-5.44217,0.0
