,coeficiente,ep_cluster,z,p_valor
constante,3.65785,0.08121,45.04368,0.0
Filantrópico,0.09895,0.06609,1.49731,0.13431
OSS,0.21225,0.07416,2.86191,0.00421
Privado,-0.24446,0.27376,-0.89296,0.37188
Público Municipal,0.31268,0.06919,4.51927,1e-05
porte Especial,-0.45673,0.24629,-1.85448,0.06367
porte Grande Porte,0.22033,0.06972,3.16032,0.00158
ano 2016,0.03172,0.01775,1.78709,0.07392
ano 2017,0.03844,0.02273,1.69099,0.09084
ano 2018,0.06537,0.0215,3.04023,0.00236
ano 2019,0.07608,0.02317,3.28335,0.00103
ano 2020,-0.05617,0.02667,-2.10591,0.03521
ano 2021,0.06599,0.02712,2.43335,0.01496
ano 2022,0.00961,0.02645,0.36329,0.71639
ano 2023,0.0707,0.0267,2.64773,0.0081
ano 2024,0.10665,0.02675,3.98777,7e-05
ano 2025,0.12593,0.02709,4.6487,0.0
complexidade estrutural,0.0008,0.00023,3.3957,0.00068
longa permanência,0.30983,0.08152,3.80071,0.00014
R2,0.28528,,,
N,3452.0,,,
