,coeficiente,ep_cluster,z,p_valor
constante,3.66817,0.07917,46.33196,0.0
Filantrópico,0.09517,0.06485,1.46757,0.14222
OSS,0.21187,0.07229,2.93076,0.00338
Privado,-0.28972,0.28293,-1.024,0.30583
Público Municipal,0.30495,0.0683,4.46493,1e-05
porte Especial,-0.44722,0.25295,-1.76799,0.07706
porte Grande Porte,0.21005,0.07394,2.841,0.0045
ano 2016,0.03172,0.01776,1.78669,0.07399
ano 2017,0.03844,0.02274,1.69061,0.09091
ano 2018,0.06537,0.02151,3.03954,0.00237
ano 2019,0.07608,0.02318,3.28274,0.00103
ano 2022,0.00961,0.02645,0.36327,0.7164
ano 2023,0.0707,0.02671,2.64716,0.00812
ano 2024,0.10666,0.02676,3.9864,7e-05
ano 2025,0.12593,0.02709,4.64818,0.0
complexidade estrutural,0.00079,0.00024,3.29052,0.001
longa permanência,0.28922,0.08388,3.44786,0.00057
R2,0.27638,,,
N,2826.0,,,
