,componente,coeficiente,ep_cluster,z,p_valor
constante,logito UTI ativa,-1.6624,0.78542,-2.11659,0.03429
Filantrópico,logito UTI ativa,-2.25613,0.67248,-3.35495,0.00079
OSS,logito UTI ativa,-3.24371,1.05163,-3.08445,0.00204
Privado,logito UTI ativa,0.13894,2.75521,0.05043,0.95978
Público Municipal,logito UTI ativa,-1.92202,0.7291,-2.63614,0.00839
porte Especial,logito UTI ativa,0.00574,2.27752,0.00252,0.99799
porte Grande Porte,logito UTI ativa,0.49332,1.42788,0.34549,0.72973
ano 2016,logito UTI ativa,0.06998,0.04969,1.40812,0.15909
ano 2017,logito UTI ativa,0.13948,0.08635,1.6154,0.10622
ano 2018,logito UTI ativa,0.21027,0.0866,2.42797,0.01518
ano 2019,logito UTI ativa,0.24615,0.10264,2.39831,0.01647
ano 2022,logito UTI ativa,0.8758,0.15902,5.50758,0.0
ano 2023,logito UTI ativa,0.99607,0.16865,5.90607,0.0
ano 2024,logito UTI ativa,0.99607,0.16865,5.90607,0.0
ano 2025,logito UTI ativa,0.9427,0.17361,5.43005,0.0
complexidade estrutural,logito UTI ativa,0.02642,0.00534,4.9521,0.0
constante,log intensidade,3.8578,0.08333,46.29778,0.0
Filantrópico,log intensidade,0.2788,0.0781,3.56987,0.00036
OSS,log intensidade,0.21747,0.0723,3.00796,0.00263
Privado,log intensidade,-2.52736,0.65039,-3.88595,0.0001
Público Municipal,log intensidade,0.21481,0.07474,2.87417,0.00405
porte Especial,log intensidade,-0.42591,0.32181,-1.32347,0.18568
porte Grande Porte,log intensidade,-0.08309,0.10959,-0.75821,0.44833
ano 2016,log intensidade,0.01859,0.02139,0.86916,0.38476
ano 2017,log intensidade,-0.00206,0.03602,-0.05733,0.95428
ano 2018,log intensidade,-0.00539,0.02432,-0.22146,0.82473
ano 2019,log intensidade,0.00616,0.025,0.2463,0.80545
ano 2022,log intensidade,-0.06416,0.0343,-1.87048,0.06142
ano 2023,log intensidade,0.01847,0.03649,0.50623,0.6127
ano 2024,log intensidade,0.08079,0.0402,2.00951,0.04448
ano 2025,log intensidade,0.11506,0.03803,3.02509,0.00249
complexidade estrutural,log intensidade,0.00048,0.0003,1.59584,0.11052
