,coeficiente,ep_cluster,z,p_valor
constante,3.99956,0.06096,65.60557,0.0
Filantrópico,0.25488,0.05496,4.63721,0.0
OSS,0.16701,0.05902,2.82991,0.00466
Privado,-1.75779,0.63515,-2.7675,0.00565
Público Municipal,0.19929,0.05996,3.32356,0.00089
porte Especial,-0.23344,0.16004,-1.45867,0.14466
porte Grande Porte,-0.0336,0.04656,-0.72159,0.47055
ano 2016,0.00919,0.01362,0.67464,0.4999
ano 2017,0.01414,0.01399,1.01009,0.31245
ano 2018,0.00061,0.01624,0.03779,0.96986
ano 2019,0.00445,0.01618,0.27518,0.78318
ano 2020,0.14077,0.02351,5.98803,0.0
ano 2021,0.38924,0.026,14.97174,0.0
ano 2022,-0.06623,0.02109,-3.14113,0.00168
ano 2023,0.01868,0.02311,0.80806,0.41905
ano 2024,0.04736,0.02206,2.14678,0.03181
ano 2025,0.07928,0.02265,3.50016,0.00046
complexidade estrutural,0.00024,0.00013,1.88363,0.05962
longa permanência,0.15792,0.13037,1.21131,0.22578
dispersão (Pearson),0.10612,,,
