,componente,coeficiente,ep_cluster,z,p_valor
constante,média Beta,-2.92042,0.28159,-10.37128,0.0
Filantrópico,média Beta,0.3182,0.21082,1.50931,0.13122
OSS,média Beta,-0.20443,0.23475,-0.87083,0.38385
Privado,média Beta,4.23795,0.63382,6.68631,0.0
Público Municipal,média Beta,-0.41374,0.21141,-1.95704,0.05034
porte Especial,média Beta,1.3835,0.69925,1.97854,0.04787
porte Grande Porte,média Beta,0.66648,0.15551,4.28581,2e-05
ano 2016,média Beta,0.10947,0.03925,2.78862,0.00529
ano 2017,média Beta,0.03329,0.03542,0.93982,0.34731
ano 2018,média Beta,0.04939,0.04098,1.20547,0.22802
ano 2019,média Beta,0.10424,0.04248,2.45389,0.01413
ano 2020,média Beta,0.13105,0.04359,3.00637,0.00264
ano 2021,média Beta,0.11316,0.04441,2.54843,0.01082
ano 2022,média Beta,0.07345,0.03979,1.84575,0.06493
ano 2023,média Beta,0.1634,0.04974,3.2853,0.00102
ano 2024,média Beta,0.13935,0.04872,2.86042,0.00423
ano 2025,média Beta,0.13143,0.06075,2.16329,0.03052
complexidade estrutural,média Beta,0.0003,0.00049,0.5976,0.55011
ln precisão,média Beta,1.44626,0.15124,9.56269,0.0
constante,logito do zero,2.36344,0.85284,2.77126,0.00558
Filantrópico,logito do zero,-0.24852,0.71915,-0.34558,0.72966
OSS,logito do zero,-0.22464,0.82462,-0.27242,0.7853
Privado,logito do zero,-1.36769,2.20974,-0.61894,0.53596
Público Municipal,logito do zero,0.05645,0.75563,0.0747,0.94045
porte Especial,logito do zero,-7.13754,1.24455,-5.73506,0.0
porte Grande Porte,logito do zero,-0.56491,0.55418,-1.01937,0.30803
ano 2016,logito do zero,0.2937,0.13692,2.14501,0.03195
ano 2017,logito do zero,-0.2234,0.13365,-1.67151,0.09462
ano 2018,logito do zero,-0.14837,0.14427,-1.02844,0.30375
ano 2019,logito do zero,-0.00016,0.14825,-0.00107,0.99915
ano 2020,logito do zero,0.16561,0.15189,1.09033,0.27557
ano 2021,logito do zero,0.19015,0.14666,1.29658,0.19478
ano 2022,logito do zero,-0.07403,0.15467,-0.47861,0.63222
ano 2023,logito do zero,0.04988,0.15228,0.32758,0.74323
ano 2024,logito do zero,-0.34914,0.16632,-2.09919,0.0358
ano 2025,logito do zero,-0.32213,0.17297,-1.86237,0.06255
complexidade estrutural,logito do zero,-0.01321,0.0024,-5.49792,0.0
constante,logito do um,-14.22782,0.05925,-240.1446,0.0
d_privado,logito do um,13.39531,1.17502,11.40004,0.0
