,componente,coeficiente,ep_cluster,z,p_valor
constante,média Beta,-2.92816,0.27976,-10.4666,0.0
Filantrópico,média Beta,0.32071,0.20915,1.53343,0.12517
OSS,média Beta,-0.19368,0.23329,-0.8302,0.40643
Privado,média Beta,4.06637,0.82787,4.91186,0.0
Público Municipal,média Beta,-0.40499,0.20958,-1.93241,0.05331
porte Especial,média Beta,1.38453,0.68891,2.00974,0.04446
porte Grande Porte,média Beta,0.6725,0.15498,4.33928,1e-05
ano 2016,média Beta,0.10899,0.03922,2.77895,0.00545
ano 2017,média Beta,0.03366,0.03528,0.95398,0.3401
ano 2018,média Beta,0.04979,0.04097,1.21514,0.22431
ano 2019,média Beta,0.10457,0.04235,2.46888,0.01355
ano 2022,média Beta,0.07333,0.03964,1.8497,0.06436
ano 2023,média Beta,0.16394,0.04967,3.30096,0.00096
ano 2024,média Beta,0.13997,0.04865,2.8769,0.00402
ano 2025,média Beta,0.13006,0.06233,2.08676,0.03691
complexidade estrutural,média Beta,0.0003,0.00049,0.61054,0.54151
ln precisão,média Beta,1.44513,0.15076,9.58535,0.0
constante,logito do zero,2.41427,0.87144,2.77045,0.0056
Filantrópico,logito do zero,-0.23574,0.73545,-0.32054,0.74856
OSS,logito do zero,-0.2062,0.8487,-0.24296,0.80803
Privado,logito do zero,-1.36862,2.22286,-0.6157,0.53809
Público Municipal,logito do zero,0.02665,0.77135,0.03455,0.97244
porte Especial,logito do zero,-14.09833,1.27123,-11.09032,0.0
porte Grande Porte,logito do zero,-0.57585,0.57794,-0.99638,0.31906
ano 2016,logito do zero,0.29676,0.13869,2.13974,0.03238
ano 2017,logito do zero,-0.22575,0.13504,-1.67176,0.09457
ano 2018,logito do zero,-0.14992,0.14583,-1.02804,0.30393
ano 2019,logito do zero,-1e-05,0.14987,-8e-05,0.99993
ano 2022,logito do zero,-0.07478,0.15634,-0.47833,0.63242
ano 2023,logito do zero,0.05057,0.15396,0.32844,0.74258
ano 2024,logito do zero,-0.3524,0.1681,-2.09642,0.03605
ano 2025,logito do zero,-0.32574,0.17477,-1.86382,0.06235
complexidade estrutural,logito do zero,-0.01352,0.00249,-5.43863,0.0
constante,logito do um,-13.83773,0.05925,-233.56752,0.0
d_privado,logito do um,13.14507,1.22834,10.70152,0.0
