,coeficiente,ep_cluster,z,p_valor
constante,4.8097,0.43278,11.11358,0.0
Filantrópico,-0.02025,0.0744,-0.27223,0.78545
OSS,0.37429,0.08252,4.53558,1e-05
Privado,-1.09078,0.63372,-1.72125,0.08521
Público Municipal,0.29006,0.07713,3.76074,0.00017
porte Especial,-0.53618,0.26436,-2.02821,0.04254
porte Grande Porte,0.0622,0.06765,0.91941,0.35788
ano 2016,0.01029,0.00786,1.30978,0.19027
ano 2017,0.02719,0.00988,2.75119,0.00594
ano 2018,0.04593,0.01166,3.9398,8e-05
ano 2019,0.07187,0.01264,5.68799,0.0
ano 2020,-0.08318,0.01569,-5.30163,0.0
ano 2021,-0.0369,0.01623,-2.27321,0.02301
ano 2022,-0.01644,0.0162,-1.0148,0.3102
ano 2023,0.0425,0.01659,2.56147,0.01042
ano 2024,0.09461,0.01675,5.64878,0.0
ano 2025,0.11999,0.01842,6.5155,0.0
complexidade estrutural,0.00113,0.00039,2.86228,0.00421
longa permanência,-1.21927,0.09807,-12.43226,0.0
log leitos,0.68406,0.10419,6.56528,0.0
alfa (perfilado),0.19736,,,
N,3452.0,,,
