,coeficiente,ep_cluster,z,p_valor
constante,4.92107,0.44983,10.9398,0.0
Filantrópico,-0.05576,0.0851,-0.65522,0.51233
OSS,0.36945,0.08918,4.1425,3e-05
Privado,-1.18608,0.64579,-1.83665,0.06626
Público Municipal,0.23533,0.08569,2.74639,0.00603
porte Especial,-0.6774,0.27049,-2.50437,0.01227
porte Grande Porte,0.05877,0.06938,0.84709,0.39695
ano 2016,0.00909,0.00819,1.10953,0.2672
ano 2017,0.03188,0.01034,3.0831,0.00205
ano 2018,0.05226,0.01238,4.22141,2e-05
ano 2019,0.07648,0.01355,5.64398,0.0
ano 2022,-0.01033,0.01706,-0.60536,0.54494
ano 2023,0.05157,0.01748,2.94987,0.00318
ano 2024,0.10672,0.0174,6.13414,0.0
ano 2025,0.13022,0.01915,6.80064,0.0
complexidade estrutural,0.00121,0.0004,3.03207,0.00243
log leitos,0.66387,0.10808,6.14245,0.0
alfa (perfilado),0.20217,,,
N,2601.0,,,
