,coeficiente,ep_cluster,z,p_valor
constante,1.64908,0.02563,64.33133,0.0
Filantrópico,-0.23632,0.02452,-9.63758,0.0
OSS,-0.10758,0.04668,-2.30441,0.0212
Privado,-0.16024,0.0185,-8.66372,0.0
Público Municipal,0.17397,0.02466,7.05447,0.0
ano 2016,-0.00033,0.00775,-0.04258,0.96603
ano 2017,-0.0072,0.00931,-0.77348,0.43924
ano 2018,-0.02117,0.01019,-2.07847,0.03767
ano 2019,-0.03263,0.01223,-2.66788,0.00763
ano 2020,-0.01671,0.01238,-1.34975,0.1771
ano 2021,-0.0083,0.01374,-0.60397,0.54586
ano 2022,0.00585,0.0135,0.43373,0.66448
ano 2023,-0.00497,0.01444,-0.34424,0.73067
ano 2024,-0.01964,0.01514,-1.29712,0.19459
ano 2025,-0.03332,0.01725,-1.93191,0.05337
R2,0.88753,,,
N,3254.0,,,
