,coeficiente,ep_cluster,z,p_valor
constante,1.64538,0.02851,57.71016,0.0
Filantrópico,-0.22978,0.02766,-8.30723,0.0
OSS,-0.12025,0.0526,-2.28605,0.02225
Privado,-0.11908,0.02086,-5.70733,0.0
Público Municipal,0.18358,0.02782,6.59893,0.0
ano 2016,-0.00033,0.00784,-0.0421,0.96642
ano 2017,-0.0072,0.00942,-0.76476,0.44441
ano 2018,-0.02117,0.0103,-2.05503,0.03988
ano 2019,-0.03259,0.01237,-2.63403,0.00844
ano 2022,0.0059,0.01365,0.43195,0.66577
ano 2023,-0.00489,0.01461,-0.33445,0.73804
ano 2024,-0.01955,0.01531,-1.27674,0.20169
ano 2025,-0.0331,0.01745,-1.89647,0.0579
R2,0.88504,,,
N,2664.0,,,
