ano,arquivo,n_prod,n_resumo,n_hibrido,n_vazias,n_cnes_prod,n_cnes_resumo
2015,20260607 - 2015.xlsx,762814,633,0,0,633,633
2016,20260605 - 2016.xlsx,747805,615,0,0,615,615
2017,20260607 - 2017.xlsx,760003,617,0,0,616,616
2018,20260607 - 2018.xlsx,779267,614,0,0,614,614
2019,20260607 - 2019.xlsx,799679,614,0,0,614,614
2020,20260611 - 2020.xlsx,728996,677,0,0,677,677
2021,20260612 - 2021.xlsx,736327,687,0,0,687,687
2022,20260605 - 2022.xlsx,787819,653,0,0,652,652
2023,20260605 - 2023.xlsx,828000,633,0,0,633,633
2024,20260605 - 2024.xlsx,883314,638,0,0,638,638
2025,20260605 - 2025.xlsx,908413,637,0,0,637,637
