cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,pct_covid_qtde,pct_covid_valor,faixa_complex_barcelona,pont_barcelona
8028,2015,,Público Municipal,Grande Porte,187,171,159,159,28,12,55197,4318,95.10984750581545,98.58447488584476,353440,Osasco,05 HOSPITAL GERAL,N/A,1,8186.0,779.0,779.0,55197.0,6599542.650000021,1.0,0.0,0.0,0.0,3703,0,0.09516247251404837,0.09516247251404837,6.742853652577572,806.1987112142708,0.0001221597849987784,,,4.0,346.0
8036,2015,,Público Municipal,Grande Porte,167,167,155,155,12,12,32141,3993,56.81131241714538,91.16438356164383,353440,Osasco,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,7514.0,36.0,35.0,32141.0,6004163.560000016,0.0,0.0,0.0,0.0,444,0,0.004791056694170881,0.004657971785999467,4.277482033537397,799.0635560287485,0.0,,,4.0,260.0
8052,2015,,Direta,Grande Porte,212,212,202,202,10,10,43742,2874,59.327275193272754,78.73972602739725,353440,Osasco,05 HOSPITAL GERAL,N/A,1,4832.0,555.0,555.0,43742.0,4975262.940000005,360.0,0.0,0.0,0.0,2475,0,0.1148592715231788,0.1148592715231788,9.052566225165563,1029.6487872516566,0.07450331125827815,,,4.0,479.0
8087,2015,,Público Municipal,HPP,17,17,17,17,0,0,2293,0,36.954069298952454,0.0,353440,Osasco,20 PRONTO SOCORRO GERAL,-,1,542.0,46.0,46.0,2293.0,239798.64000000028,0.0,0.0,0.0,0.0,336,0,0.08487084870848709,0.08487084870848709,4.230627306273063,442.4329151291518,0.0,,,,
8141,2015,,Público Municipal,HPP,12,12,12,12,0,0,916,0,20.91324200913242,0.0,353440,Osasco,20 PRONTO SOCORRO GERAL,-,1,250.0,9.0,9.0,916.0,107852.0199999999,0.0,0.0,0.0,0.0,179,0,0.036,0.036,3.664,431.4080799999996,0.0,,,,
8478,2015,,DESATIVADO,Médio Porte,65,14,65,14,0,0,5134,0,100.46966731898239,0.0,353440,Osasco,07 HOSPITAL ESPECIALIZADO,-,1,175.0,0.0,0.0,5134.0,262770.7199999999,0.0,0.0,0.0,0.0,9,0,0.0,0.0,29.337142857142858,1501.546971428571,0.0,,,,
8494,2015,,Público Municipal,HPP,31,31,31,31,0,0,6517,0,57.59611135660627,0.0,354780,Santo Andre,73 PRONTO ATENDIMENTO,-,1,1780.0,216.0,216.0,6517.0,608169.0400000009,0.0,0.0,0.0,0.0,769,0,0.12134831460674157,0.12134831460674157,3.66123595505618,341.66800000000046,0.0,,,,
8923,2015,,Público Municipal,Grande Porte,251,244,208,208,43,36,85929,13237,113.1836143308746,100.73820395738204,354780,Santo Andre,05 HOSPITAL GERAL,N/A,1,11525.0,792.0,792.0,85929.0,19782775.910000097,547.0,0.0,0.0,0.0,5210,0,0.06872017353579175,0.06872017353579175,7.45587852494577,1716.50984034708,0.04746203904555314,,,5.0,565.0
9539,2015,,Filantrópico,Médio Porte,76,43,62,35,14,8,7897,1131,61.816046966731896,38.73287671232877,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,2719.0,12.0,12.0,7897.0,2885155.980000001,345.0,0.0,0.0,0.0,270,0,0.004413387274733358,0.004413387274733358,2.904376609047444,1061.1092239794045,0.12688488414858404,,,2.0,15.0
9601,2015,,Filantrópico,Médio Porte,82,53,69,41,13,12,15401,4279,102.91346475108587,97.69406392694064,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,2851.0,210.0,210.0,15401.0,11962766.949999997,1604.0,0.0,0.0,0.0,1456,0,0.07365836548579446,0.07365836548579446,5.401964223079621,4195.989810592773,0.5626096106629253,,,3.0,141.0
9628,2015,,Público Municipal,Grande Porte,360,360,308,308,52,52,121812,14992,108.3543853406867,78.98840885142255,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,21287.0,1375.0,1375.0,121812.0,23591257.090000134,807.0,0.0,0.0,0.0,7281,0,0.06459341382064171,0.06459341382064171,5.722365763141823,1108.2471503734737,0.037910461784187534,,,5.0,713.0
9636,2015,,Filantrópico,Médio Porte,100,0,100,0,0,0,5702,0,0.0,0.0,354990,Sao Jose Dos Campos,07 HOSPITAL ESPECIALIZADO,-,1,221.0,0.0,0.0,5702.0,232830.28999999995,0.0,0.0,0.0,0.0,68,0,0.0,0.0,25.800904977375566,1053.5307239819003,0.0,,,,
9695,2015,,Público Municipal,HPP,17,17,17,17,0,0,3387,0,54.58501208702659,0.0,354990,Sao Jose Dos Campos,62 HOSPITAL/DIA - ISOLADO,-,1,113.0,0.0,0.0,3387.0,20143.549999999996,113.0,0.0,0.0,0.0,16,0,0.0,0.0,29.97345132743363,178.26150442477874,1.0,,,2.0,6.0
21520,2015,,Público Municipal,HPP,29,29,29,29,0,0,4739,0,44.770902220122814,0.0,354780,Santo Andre,73 PRONTO ATENDIMENTO,-,1,1210.0,212.0,212.0,4739.0,446114.54000000027,0.0,0.0,0.0,0.0,717,0,0.17520661157024794,0.17520661157024794,3.9165289256198346,368.6897024793391,0.0,,,,
26417,2015,,Público Municipal,HPP,43,43,43,43,0,0,14935,0,95.15769353297229,0.0,354990,Sao Jose Dos Campos,05 HOSPITAL GERAL,N/A,1,2791.0,137.0,137.0,14935.0,1081979.489999999,0.0,0.0,0.0,0.0,887,0,0.049086348978860626,0.049086348978860626,5.351128627731995,387.66731995700434,0.0,,,2.0,44.0
2022621,2015,,Filantrópico,Grande Porte,217,117,175,92,42,25,26488,5430,78.88028588445503,59.50684931506849,350950,Campinas,05 HOSPITAL GERAL,N/A,1,7926.0,24.0,24.0,26488.0,8575545.899999997,1.0,0.0,0.0,0.0,622,0,0.003028009084027252,0.003028009084027252,3.341912692404744,1081.9512869038604,0.00012616704516780217,,,3.0,242.0
2022648,2015,,Filantrópico,Médio Porte,115,63,98,62,17,1,7797,329,34.45426425099426,90.13698630136986,350950,Campinas,05 HOSPITAL GERAL,N/A,1,840.0,97.0,97.0,7797.0,449160.5499999999,0.0,0.0,0.0,0.0,322,0,0.11547619047619048,0.11547619047619048,9.282142857142857,534.7149404761903,0.0,,,3.0,156.0
2023016,2015,,Filantrópico,Médio Porte,73,55,73,55,0,0,8269,0,41.19053549190536,0.0,350940,Cajuru,05 HOSPITAL GERAL,N/A,1,2288.0,66.0,66.0,8269.0,935619.9100000024,0.0,0.0,0.0,0.0,1073,0,0.028846153846153848,0.028846153846153848,3.6140734265734267,408.92478583916187,0.0,,,2.0,109.0
2023474,2015,,Público Municipal,Médio Porte,78,78,78,78,0,0,10173,0,35.732349841938884,0.0,352470,Jaguariuna,05 HOSPITAL GERAL,N/A,1,3186.0,115.0,115.0,10173.0,1683246.3000000026,0.0,0.0,0.0,0.0,1427,0,0.03609541745134966,0.03609541745134966,3.1930320150659135,528.3258945386073,0.0,,,3.0,227.0
2023644,2015,,DESATIVADO,Médio Porte,97,66,90,63,7,3,6728,386,29.258534464013916,35.25114155251141,351280,Cosmópolis,05 HOSPITAL GERAL,N/A,1,2043.0,115.0,115.0,6728.0,952584.3400000009,2.0,0.0,0.0,0.0,904,0,0.056289769946157614,0.056289769946157614,3.293196279980421,466.2674204601081,0.0009789525208027412,,,,
