cnes,indicador,ano_conversao,mediana_pre,mediana_pos,variacao_relativa
2081695,tmp,2019,8.2899,7.1271,-0.1403
2081695,mort_all,2019,0.0934,0.0795,-0.1484
2081695,custo_real,2019,2734.6278,2401.4657,-0.1218
2081695,qtde,2019,13159.5,16243.0,0.2343
2078287,tmp,2023,4.1175,3.3956,-0.1753
2078287,mort_all,2023,0.0755,0.0457,-0.395
2078287,custo_real,2023,1989.3967,1423.765,-0.2843
2078287,qtde,2023,5583.0,14036.0,1.5141
2082225,tmp,2025,5.4146,5.3528,-0.0114
2082225,mort_all,2025,0.079,0.0647,-0.1815
2082225,custo_real,2025,869.1776,977.0697,0.1241
2082225,qtde,2025,9804.0,10839.0,0.1056
2091755,tmp,2025,5.0304,5.4994,0.0932
2091755,mort_all,2025,0.0748,0.0831,0.1108
2091755,custo_real,2025,940.0787,1246.1275,0.3256
2091755,qtde,2025,8350.5,7783.0,-0.068
2750511,tmp,2025,3.7151,3.9146,0.0537
2750511,mort_all,2025,0.006,0.0068,0.1339
2750511,custo_real,2025,1132.8144,1082.2733,-0.0446
2750511,qtde,2025,3675.0,3513.0,-0.0441
