bloco,cnes,nome,municipio,geografia,categoria,porte,faixa_barcelona,leitos_mediana,te_bcc_vc_mediana,te_sfa_mediana,rank_dea,rank_dea_leitos,divergencia_dea_leitos,tmp_mediana,mort_all_mediana,custo_real_mediana,qtde_mediana,complexidade_estrutural,papel,tipo_entrevista,justificativa
a_conversor,2081695,Conjunto Hospitalar Sorocaba,Sorocaba,interior,OSS (conversor),Grande Porte,5,395.0,0.563,0.999,,,,7.42,0.0848,2530.0,15385.0,675,conversor (2019),plena,"Conversor Direta->OSS em 2019. Antes/depois (medianas): TMP (dias): 8,29 -> 7,13 (-14,0%); Mortalidade geral: 0,09 -> 0,08 (-14,8%); Faturamento real por saída (R$ de 2025): 2.734,63 -> 2.401,47 (-12,2%); Saídas hospitalares (produção): 13.159,50 -> 16.243,00 (23,4%)"
a_conversor,2078287,Centro De Referencia Da Saude Da Mulher Sao Paulo,Sao Paulo,capital,OSS (conversor),Médio Porte,4,139.0,0.827,0.805,,,,3.83,0.0648,1915.0,6478.0,266,conversor (2023),plena,"Conversor Direta->OSS em 2023. Antes/depois (medianas): TMP (dias): 4,12 -> 3,40 (-17,5%); Mortalidade geral: 0,08 -> 0,05 (-39,5%); Faturamento real por saída (R$ de 2025): 1.989,40 -> 1.423,76 (-28,4%); Saídas hospitalares (produção): 5.583,00 -> 14.036,00 (151,4%)"
a_conversor,2082225,Hospital Katia De Souza Rodrigues Taipas Sao Paulo,Sao Paulo,capital,OSS (conversor),Grande Porte,4,264.0,0.818,0.912,,,,5.35,0.0743,915.0,9931.0,380,conversor (2025),plena,"Conversor Direta->OSS em 2025 [apenas 1 ano pós: sem leitura de tendência]. Antes/depois (medianas): TMP (dias): 5,41 -> 5,35 (-1,1%); Mortalidade geral: 0,08 -> 0,06 (-18,1%); Faturamento real por saída (R$ de 2025): 869,18 -> 977,07 (12,4%); Saídas hospitalares (produção): 9.804,00 -> 10.839,00 (10,6%)"
a_conversor,2091755,Hospital Geral De Vila Penteado Dr Jose Pangella Sao Paulo,Sao Paulo,capital,OSS (conversor),Grande Porte,4,213.0,0.582,0.893,,,,5.03,0.0771,979.0,8154.0,350,conversor (2025),plena,"Conversor Direta->OSS em 2025 [apenas 1 ano pós: sem leitura de tendência]. Antes/depois (medianas): TMP (dias): 5,03 -> 5,50 (9,3%); Mortalidade geral: 0,07 -> 0,08 (11,1%); Faturamento real por saída (R$ de 2025): 940,08 -> 1.246,13 (32,6%); Saídas hospitalares (produção): 8.350,50 -> 7.783,00 (-6,8%)"
a_conversor,2750511,Hospital Estadual Dr Odilo Antunes De Siqueira P Prudente,Presidente Prudente,interior,OSS (conversor),Médio Porte,2,57.0,0.698,0.9,,,,3.86,0.0062,1111.0,3636.0,94,conversor (2025),plena,"Conversor Direta->OSS em 2025 [apenas 1 ano pós: sem leitura de tendência]. Antes/depois (medianas): TMP (dias): 3,72 -> 3,91 (5,4%); Mortalidade geral: 0,01 -> 0,01 (13,4%); Faturamento real por saída (R$ de 2025): 1.132,81 -> 1.082,27 (-4,5%); Saídas hospitalares (produção): 3.675,00 -> 3.513,00 (-4,4%)"
b_desviante_positivo,7573162,Hospital Regional De Jundiai,Jundiai,interior,OSS,Médio Porte,3,136.0,0.905,0.999,4.0,18.0,14.0,2.06,0.0073,851.0,9758.0,246,desviante positivo OSS,plena,"Desviante positivo da categoria OSS (quartil superior persistente de te_bcc_vc e te_sfa): eficiência DEA 0,905 e SFA 0,999 (medianas 2015-2025), no suporte comum (faixa 3, Médio Porte). Marcador financeiro x físico: 4º no rank DEA com insumo financeiro contra 18º só com leitos (diferença de 14 posições; positivo = ranqueia melhor com o insumo financeiro do que sem ele) — investigar se a divergência é regime de pagamento, porte, complexidade ou gestão real."
b_desviante_positivo,6164366,Hospital Estadual Americo Brasiliense,Americo Brasiliense,interior,Direta,Médio Porte,3,92.0,0.81,0.908,27.0,75.0,48.0,3.11,0.0313,1112.0,6247.0,187,desviante positivo Direta,plena,"Desviante positivo da categoria Direta (critério relaxado: quartil superior de DEA e acima da mediana de SFA): eficiência DEA 0,810 e SFA 0,908 (medianas 2015-2025), no suporte comum (faixa 3, Médio Porte). Marcador financeiro x físico: 27º no rank DEA com insumo financeiro contra 75º só com leitos (diferença de 48 posições; positivo = ranqueia melhor com o insumo financeiro do que sem ele) — investigar se a divergência é regime de pagamento, porte, complexidade ou gestão real."
b_desviante_positivo,5718368,Hosp Mun M Boi Mirim,Sao Paulo,capital,Público Municipal,Grande Porte,4,305.0,0.87,0.962,12.0,4.0,-8.0,3.8,0.0369,869.0,20853.0,469,desviante positivo Público Municipal,plena,"Desviante positivo da categoria Público Municipal (quartil superior persistente de te_bcc_vc e te_sfa): eficiência DEA 0,870 e SFA 0,962 (medianas 2015-2025), no suporte comum (faixa 4, Grande Porte). Marcador financeiro x físico: 12º no rank DEA com insumo financeiro contra 4º só com leitos (diferença de -8 posições; positivo = ranqueia melhor com o insumo financeiro do que sem ele) — investigar se a divergência é regime de pagamento, porte, complexidade ou gestão real."
b_desviante_positivo,2076896,Hospital Sao Luiz Gonzaga,Sao Paulo,capital,Filantrópico,Grande Porte,3,171.0,0.922,0.928,1.0,66.0,65.0,4.63,0.0362,647.0,9804.0,241,desviante positivo Filantrópico,plena,"Desviante positivo da categoria Filantrópico (quartil superior persistente de te_bcc_vc e te_sfa): eficiência DEA 0,922 e SFA 0,928 (medianas 2015-2025), no suporte comum (faixa 3, Grande Porte). Marcador financeiro x físico: 1º no rank DEA com insumo financeiro contra 66º só com leitos (diferença de 65 posições; positivo = ranqueia melhor com o insumo financeiro do que sem ele) — investigar se a divergência é regime de pagamento, porte, complexidade ou gestão real."
c_desviante_negativo,2028840,Instituto De Infectologia Emilio Ribas Sao Paulo,Sao Paulo,capital,Direta,Grande Porte,4,160.0,0.447,0.409,252.0,266.0,14.0,12.8,0.0814,3141.0,2365.0,459,desviante negativo Direta,plena,"Desviante negativo da categoria Direta (quartil inferior persistente de te_bcc_vc e te_sfa): eficiência DEA 0,447 e SFA 0,409 (medianas 2015-2025), no suporte comum (faixa 4, Grande Porte)."
c_desviante_negativo,2698471,Secao Hospital Municipal Dr Arthur Domingues Pinto,Santos,interior,Público Municipal,Médio Porte,3,61.0,0.378,0.717,272.0,261.0,-11.0,8.71,0.0479,892.0,1352.0,122,desviante negativo Público Municipal,plena,"Desviante negativo da categoria Público Municipal (quartil inferior persistente de te_bcc_vc e te_sfa): eficiência DEA 0,378 e SFA 0,717 (medianas 2015-2025), no suporte comum (faixa 3, Médio Porte)."
c_desviante_negativo,2080354,Hospital Santo Antonio Santos,Santos,interior,Filantrópico,Grande Porte,3,191.0,0.351,0.399,276.0,274.0,-2.0,6.79,0.113,2236.0,1922.0,126,desviante negativo Filantrópico,plena,"Desviante negativo da categoria Filantrópico (quartil inferior persistente de te_bcc_vc e te_sfa): eficiência DEA 0,351 e SFA 0,399 (medianas 2015-2025), no suporte comum (faixa 3, Grande Porte)."
d_par_casado,2065665,Hospital Maternidade Interlagos,Sao Paulo,capital,Direta,Médio Porte,3,89.0,0.69,0.9,103.0,74.0,-29.0,3.09,0.0056,1072.0,5527.0,160,par Direta da âncora 7573162,plena,"Par casado da âncora OSS Hospital Regional De Jundiai (CNES 7573162): mesmo porte (Médio Porte), faixa Barcelona 3 vs 3, leitos 89 vs 136, mas eficiência divergente: DEA 0,690 vs 0,905; SFA 0,900 vs 0,999. Estrutura parecida, gestão Direta: o que a gestão faz de diferente?"
d_par_casado,2079232,Hospital Santa Barbara,Santa Barbara D'Oeste,interior,Filantrópico,Médio Porte,3,137.0,0.523,0.82,211.0,158.0,-53.0,3.96,0.0594,1428.0,5603.0,247,par Filantrópico da âncora 7573162,plena,"Par casado da âncora OSS Hospital Regional De Jundiai (CNES 7573162): mesmo porte (Médio Porte), faixa Barcelona 3 vs 3, leitos 137 vs 136, mas eficiência divergente: DEA 0,523 vs 0,905; SFA 0,820 vs 0,999. Estrutura parecida, gestão Filantrópico: o que a gestão faz de diferente?"
d_par_casado,2792141,Hospital Regional De Cotia,Cotia,interior,OSS,Médio Porte,4,145.0,0.893,0.999,7.0,1.0,-6.0,3.64,0.0513,1126.0,13904.0,330,âncora OSS,plena,"Âncora OSS de alta eficiência (DEA 0,893, SFA 0,999) para os pares casados."
d_par_casado,2079410,Complexo Hospitalar Padre Bento De Guarulhos,Guarulhos,interior,Direta,Médio Porte,4,145.0,0.527,0.815,209.0,206.0,-3.0,6.88,0.1205,1366.0,4403.0,327,par Direta da âncora 2792141,plena,"Par casado da âncora OSS Hospital Regional De Cotia (CNES 2792141): mesmo porte (Médio Porte), faixa Barcelona 4 vs 4, leitos 145 vs 145, mas eficiência divergente: DEA 0,527 vs 0,893; SFA 0,815 vs 0,999. Estrutura parecida, gestão Direta: o que a gestão faz de diferente?"
d_par_casado,2096412,Santa Casa De Misericordia De Jacarei,Jacarei,interior,Filantrópico,Médio Porte,4,143.0,0.598,0.89,153.0,106.0,-47.0,4.55,0.0799,1289.0,7386.0,312,par Filantrópico da âncora 2792141,plena,"Par casado da âncora OSS Hospital Regional De Cotia (CNES 2792141): mesmo porte (Médio Porte), faixa Barcelona 4 vs 4, leitos 143 vs 145, mas eficiência divergente: DEA 0,598 vs 0,893; SFA 0,890 vs 0,999. Estrutura parecida, gestão Filantrópico: o que a gestão faz de diferente?"
e_divergencia_dea_sfa,2077590,Ibcc,Sao Paulo,capital,Filantrópico,Grande Porte,3,161.0,0.748,0.456,57.0,242.0,185.0,4.51,0.0862,2882.0,3577.0,176,divergência DEA x SFA,plena,"Divergência DEA x SFA: rank DEA 57 vs rank SFA 273 entre 280 CNES (|dif| = 216; DEA favorável, SFA desfavorável; te_bcc_vc 0,748, te_sfa 0,456). Os dois métodos discordam: há algo que os modelos não capturam."
e_divergencia_dea_sfa,2089785,Hospital Do Rim E Hipertensao,Sao Paulo,capital,Filantrópico,Grande Porte,3,151.0,0.782,0.675,39.0,19.0,-20.0,6.16,0.0122,9684.0,6807.0,227,divergência DEA x SFA,plena,"Divergência DEA x SFA: rank DEA 39 vs rank SFA 251 entre 280 CNES (|dif| = 212; DEA favorável, SFA desfavorável; te_bcc_vc 0,782, te_sfa 0,675). Os dois métodos discordam: há algo que os modelos não capturam."
e_divergencia_dea_sfa,2083086,Hospital Amaral Carvalho Jau,Jau,interior,Filantrópico,Grande Porte,4,307.0,0.801,0.765,28.0,25.0,-3.0,4.53,0.0537,4294.0,12400.0,415,divergência DEA x SFA,plena,"Divergência DEA x SFA: rank DEA 28 vs rank SFA 232 entre 280 CNES (|dif| = 204; DEA favorável, SFA desfavorável; te_bcc_vc 0,801, te_sfa 0,765). Os dois métodos discordam: há algo que os modelos não capturam."
e_divergencia_dea_sfa,2790734,Instituto Lauro De Souza Lima Bauru,Bauru,interior,Direta,Médio Porte,2,63.0,0.742,0.642,67.0,279.0,212.0,16.21,0.0037,811.0,281.0,27,divergência DEA x SFA,plena,"Divergência DEA x SFA: rank DEA 67 vs rank SFA 262 entre 280 CNES (|dif| = 195; DEA favorável, SFA desfavorável; te_bcc_vc 0,742, te_sfa 0,642). Os dois métodos discordam: há algo que os modelos não capturam."
e_divergencia_dea_sfa,9601,Hospital Pio Xii,Sao Jose Dos Campos,interior,Filantrópico,Médio Porte,3,83.0,0.729,0.671,73.0,52.0,-21.0,4.69,0.0908,4682.0,4104.0,141,divergência DEA x SFA,plena,"Divergência DEA x SFA: rank DEA 73 vs rank SFA 253 entre 280 CNES (|dif| = 180; DEA favorável, SFA desfavorável; te_bcc_vc 0,729, te_sfa 0,671). Os dois métodos discordam: há algo que os modelos não capturam."
f_validacao_registro,2022648,Hospital Irmaos Penteado E Santa Casa De Campinas,Campinas,interior,Filantrópico,Médio Porte,3,115.0,0.354,0.664,275.0,276.0,1.0,9.25,0.1681,1254.0,1464.0,156,validação de registro,curta,"ocupação de UTI de 875% em 2021: verificar leitos CNES cadastrados vs leitos operacionais na pandemia. Ocupação de UTI registrada: 2020 = 561,6%, 2021 = 875,2% (leitos UTI cadastrados: 16)."
f_validacao_registro,2097613,Hospital Infante D Henrique,Sao Jose Do Rio Preto,interior,Filantrópico,Grande Porte,2,228.0,0.758,0.264,,,,7.51,0.0256,4623.0,65.0,39,validação de registro,curta,"denominadores frágeis em 2020-21 (menos de 30 saídas sem COVID no biênio, TMP zero em 2021): verificar registro de produção no SIH. Saídas registradas: 2020 = 13, 2021 = 4; TMP 2021 = 0,00."
