cnes,nome_referencia,municipio,anos_presentes,de_possiveis,anos_faltantes
2081644,Hospital Frei Galvao,Guaratingueta,10,11,2024
7947984,Complexo Municipal De Saude,Campos Do Jordao,10,11,2015
6998704,Complexo Hospitalar Dos Estivadores,Santos,9,11,"2015, 2016"
9539,,Sao Jose Dos Campos,8,11,"2020, 2021, 2022"
2081113,Hospital Santa Filomena De Rio Claro,Rio Claro,8,11,"2015, 2016, 2025"
2082624,Hospital Japones Santa Cruz,Sao Paulo,8,11,"2015, 2016, 2017"
2752077,Hosp Do Serv Pub Municipal Hspm,Sao Paulo,8,11,"2023, 2024, 2025"
9425802,Hospital Regional De Piracicaba,Piracicaba,8,11,"2015, 2016, 2017"
9491112,Hospital Regional De Sorocaba,Sorocaba,8,11,"2015, 2016, 2017"
9491252,Dr Rubens Savastano Hospital Regional De Sao Jose Dos Campos,Sao Jose Dos Campos,8,11,"2015, 2016, 2017"
9680500,Ahbb,Garca,8,11,"2015, 2016, 2017"
6984649,Bp Hospital Filantropico,Sao Paulo,7,11,"2022, 2023, 2024, 2025"
9556095,Hospital Regional De Registro Registro,Registro,7,11,"2015, 2016, 2017, 2018"
9639659,Santa Casa De Misericordia De Cosmopolis,Cosmopolis,7,11,"2015, 2016, 2017, 2018"
9773657,Hospital Estadual De Serrana,Serrana,7,11,"2015, 2016, 2017, 2018"
92894,Hospital Regional Do Litoral Norte,Caraguatatuba,6,11,"2015, 2016, 2017, 2018, 2019"
102105,Hospital Municipal Brasilandia,Sao Paulo,6,11,"2015, 2016, 2017, 2018, 2019"
127604,Hospital De Campanha Covid 19 Jardim Paulista,Barueri,6,11,"2015, 2016, 2017, 2018, 2019"
161438,Hospital Municipal Guarapiranga,Sao Paulo,6,11,"2015, 2016, 2017, 2018, 2019"
2058332,,Bauru,6,11,"2017, 2018, 2019, 2020, 2021"
2079275,Hospital Ribeirao Preto,Ribeirao Preto,6,11,"2021, 2022, 2023, 2024, 2025"
8005877,Hospital Sao Marcos Jaboticabal,Jaboticabal,6,11,"2021, 2022, 2023, 2024, 2025"
9465464,Hosp Mun Josanias Castanha Braga,Sao Paulo,6,11,"2015, 2016, 2017, 2018, 2019"
8478,,Osasco,5,11,"2020, 2021, 2022, 2023, 2024, 2025"
102075,Hospital Municipal Da Bela Vista Santa Dulce Dos Pobres,Sao Paulo,5,11,"2015, 2016, 2017, 2018, 2019, 2025"
605484,Amhe Med Sorocaba,Sorocaba,5,11,"2015, 2016, 2017, 2018, 2019, 2020"
2080699,Hospital Unimed Piracicaba,Piracicaba,5,11,"2015, 2016, 2017, 2018, 2019, 2020"
2084198,,Itu,5,11,"2020, 2021, 2022, 2023, 2024, 2025"
6891411,Ibcc Unidade Jacana,Sao Paulo,5,11,"2015, 2016, 2017, 2023, 2024, 2025"
7400926,Fundacao Hospital Regional Do Cancer,Presidente Prudente,5,11,"2015, 2016, 2017, 2018, 2019, 2020"
2025523,,Marília,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2078023,,Garça,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2078236,,Piedade,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2078570,Hospital Cantareira,Sao Paulo,4,11,"2015, 2016, 2017, 2018, 2019, 2020, 2022"
2081547,,Salto de Pirapora,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2082616,,Sorocaba,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2082918,,Salto de Pirapora,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2084287,,Itapira,4,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021"
2086263,,Garca,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
2751747,,Maua,4,11,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
3058808,,Bebedouro,4,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021"
3880966,,Bauru,4,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021"
9377255,,Marilia,4,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021"
105767,Hospital De Campanha Covid 19 Hospital Anchieta,Sao Bernardo Do Campo,3,11,"2015, 2016, 2017, 2018, 2019, 2023, 2024, 2025"
158100,Hospital Municipal Brigadeiro,Sao Paulo,3,11,"2015, 2016, 2017, 2018, 2019, 2020, 2024, 2025"
