"cnes","ano","categoria","te_bcc","te_ccr","ef_escala","te_bcc_vc","vies"
8028,2015,"Público Municipal",0.679671450391107,0.585754542957237,0.861820137685896,0.648153415031616,-0.0315180353594912
8036,2015,"Público Municipal",0.680553601179138,0.594767884507089,0.873947156368852,0.654271326200058,-0.0262822749790794
8052,2015,"Direta",0.551284000559862,0.449925778017764,0.816141548749532,0.499381778246168,-0.0519022223136938
8923,2015,"Público Municipal",0.638988363900482,0.490785648794657,0.768066644905435,0.614599722121002,-0.0243886417794801
9601,2015,"Filantrópico",0.742124258695796,0.71754424350807,0.966878841515136,0.645353966146879,-0.0967702925489171
9628,2015,"Público Municipal",0.937787004714091,0.640445168658825,0.682932441417315,0.869234751055425,-0.0685522536586659
2022621,2015,"Filantrópico",0.545470175140803,0.45494737337652,0.83404628540705,0.515198388589853,-0.0302717865509503
2022648,2015,"Filantrópico",0.603556480528477,0.590622686123819,0.978570697487445,0.57320472798002,-0.0303517525484566
2023016,2015,"Filantrópico",0.825540611017869,0.818127605909196,0.99102042345375,0.78504664730682,-0.0404939637110496
2023474,2015,"Público Municipal",0.759115824683964,0.732818535617237,0.965358001754639,0.73319085135765,-0.0259249733263144
2023709,2015,"Filantrópico",0.596194015629927,0.562668071770398,0.943766721938484,0.569985892958642,-0.0262081226712854
2024691,2015,"Filantrópico",0.576306521128442,0.531844755039682,0.922850489351219,0.549758988546262,-0.0265475325821806
2024756,2015,"Filantrópico",0.583660678821132,0.581537139580676,0.996361688704564,0.542901861788276,-0.0407588170328559
2025361,2015,"Público Municipal",0.6575512713803,0.614592242383281,0.934668168298356,0.594016579538194,-0.0635346918421065
2025477,2015,"Filantrópico",0.610956798313029,0.591172859408842,0.967618104980885,0.588749649654711,-0.0222071486583189
2025507,2015,"Filantrópico",0.481986784075152,0.438004621184036,0.908748197369126,0.449072430789996,-0.0329143532851561
2025752,2015,"Filantrópico",0.561423858646201,0.316116910692953,0.563062837149862,0.505876700834733,-0.055547157811468
2026805,2015,"Filantrópico",0.702493658963768,0.697659484771839,0.993118551135308,0.664930973997089,-0.037562684966679
2027186,2015,"Filantrópico",0.685391328036297,0.62774968691453,0.915899663792194,0.641727331331361,-0.0436639967049368
2027356,2015,"Público Municipal",0.635849148633119,0.62259720748213,0.979158671235973,0.585356980199567,-0.0504921684335528
2028204,2015,"Filantrópico",0.424682792574321,0.403338496156449,0.949740613956859,0.410384441709636,-0.0142983508646851
2028239,2015,"Filantrópico",1,1,1,0.919632283223947,-0.0803677167760535
2028840,2015,"Direta",0.917689742763091,0.703029153853823,0.766085879675475,0.813530836932412,-0.104158905830679
2040069,2015,"Filantrópico",0.85441429864782,0.854289193134064,0.999853577457735,0.788254144701102,-0.0661601539467177
2058308,2015,"Público Municipal",0.778218433786661,0.757102971688502,0.972866921186362,0.72366222454788,-0.0545562092387817
2058790,2015,"Público Municipal",0.692026636765037,0.644828969668169,0.9317979040265,0.664859369641818,-0.027167267123218
2065665,2015,"Direta",0.621529822811552,0.576494930197122,0.927541863702195,0.602366346247575,-0.0191634765639771
2066092,2015,"OSS",0.981514920907939,0.789523334172113,0.804392594910095,0.942298708229737,-0.0392162126782015
2066572,2015,"Direta",0.728151374082491,0.543878214492432,0.746930149212101,0.662474014279398,-0.0656773598030935
2069776,2015,"Público Municipal",0.63108397381899,0.571462771470398,0.905525722689811,0.602992046840042,-0.0280919269789479
2071568,2015,"Filantrópico",0.769711902181692,0.426322170303532,0.553872389260388,0.676141591118084,-0.0935703110636082
2075717,2015,"Público Municipal",0.550048545214261,0.54184935247603,0.985093692530289,0.522211647094586,-0.0278368981196746
2075962,2015,"Filantrópico",0.773528507635095,0.673999184970647,0.871330763272399,0.739681234343463,-0.0338472732916321
2076896,2015,"Filantrópico",1,0.912633451589509,0.912633451589509,0.921450168127345,-0.0785498318726551
2076926,2015,"Direta",0.799770560121236,0.660961987943726,0.826439507655211,0.748822556980203,-0.0509480031410324
2077388,2015,"Filantrópico",0.892704361891347,0.870716897776122,0.975369825606497,0.847487137975706,-0.0452172239156414
2077396,2015,"Filantrópico",1,0.525096981247127,0.525096981247127,0.851794721363068,-0.148205278636932
2077426,2015,"OSS",0.998399341655421,0.854058284736304,0.855427531953508,0.955624108239555,-0.0427752334158656
2077434,2015,"OSS",0.696764290188401,0.63033212517161,0.904656185811663,0.665693791052643,-0.0310704991357583
2077450,2015,"Público Municipal",0.719291320604782,0.693256610056149,0.963805053942897,0.688624855315266,-0.0306664652895162
2077477,2015,"Filantrópico",0.799546076951123,0.454321274492213,0.56822400558159,0.706216780281773,-0.0933292966693494
2077485,2015,"Filantrópico",0.78740615878576,0.444802739040454,0.564896189949001,0.697803022443623,-0.0896031363421376
2077493,2015,"Direta",0.625696528341258,0.461320727829586,0.737291493453803,0.595336382352469,-0.0303601459887893
2077507,2015,"Privado",0.231362001622585,0.172092957952798,0.743825506115431,0.208698560954713,-0.0226634406678719
2077523,2015,"Direta",0.847445118373846,0.661714643621936,0.780834804844582,0.805149207966881,-0.0422959104069646
2077531,2015,"Filantrópico",0.781470342811883,0.53578917266334,0.685616770478411,0.702172930022618,-0.0792974127892653
2077574,2015,"OSS",0.819254563679403,0.50927092657162,0.621627207402303,0.739473300077882,-0.0797812636015209
2077582,2015,"Filantrópico",0.724435314880635,0.714642457474154,0.986482081691318,0.695759824987247,-0.0286754898933874
2077590,2015,"Filantrópico",1,0.835550602540793,0.835550602540793,0.875830528630871,-0.124169471369129
2077620,2015,"OSS",0.872115435658612,0.633251581492209,0.726109819411675,0.821026463869654,-0.0510889717889582
2077639,2015,"Público Municipal",0.667014028010961,0.58819265867364,0.881829517780358,0.637587776980942,-0.0294262510300183
2077647,2015,"Filantrópico",0.602328283760456,0.53264270366753,0.884306312733871,0.576505355410883,-0.0258229283495732
2077655,2015,"Filantrópico",0.470934218237515,0.456856403622042,0.970106621964826,0.408566225574408,-0.0623679926631075
2077671,2015,"OSS",0.896410201682746,0.692628509377255,0.772669150883211,0.858902420274319,-0.0375077814084269
2077701,2015,"Direta",0.70326739262015,0.643830196032587,0.915484213812162,0.672355990071061,-0.030911402549089
2078015,2015,"Filantrópico",1,0.371476980565086,0.371476980565086,0.812471654551225,-0.187528345448775
2078074,2015,"Filantrópico",0.574334770819916,0.54079213298944,0.941597410544044,0.553167237150639,-0.0211675336692769
2078104,2015,"OSS",0.899317184897154,0.729897491521853,0.811612970128358,0.84033601165698,-0.0589811732401742
2078139,2015,"Filantrópico",0.814127113810002,0.785882121176602,0.965306409583612,0.761030544383727,-0.0530965694262752
2078155,2015,"Filantrópico",0.536826886722282,0.489197578011724,0.911276223511512,0.490825981122427,-0.0460009055998551
2078252,2015,"Filantrópico",0.799200265920228,0.747047472913759,0.934743774207309,0.770469667208526,-0.0287305987117019
2078287,2015,"Direta",0.915674882032097,0.79978623752294,0.873439091993031,0.818088638345509,-0.0975862436865877
2078295,2015,"Filantrópico",0.75040136592509,0.684623667335,0.912343311756902,0.718212226289221,-0.0321891396358694
2078414,2015,"Filantrópico",0.754506720079022,0.753775366408496,0.999030686339746,0.701849029480807,-0.0526576905982148
2078465,2015,"Filantrópico",0.374392448495412,0.367017302896782,0.980301030033408,0.357945587710228,-0.0164468607851842
2078473,2015,"Público Municipal",0.553659032830779,0.499848516292704,0.902809286316617,0.528262617002483,-0.025396415828296
2078503,2015,"Filantrópico",0.773854721540185,0.725477906505355,0.937485921209414,0.739331998674548,-0.0345227228656373
2078511,2015,"Filantrópico",0.69639657202904,0.640303984205536,0.919453096013854,0.65616759816478,-0.0402289738642603
2078562,2015,"OSS",0.793331455445394,0.662361778143971,0.834911780690842,0.736383458513657,-0.0569479969317364
2078775,2015,"Filantrópico",0.56258888358048,0.428495719324666,0.761649815399114,0.518709013455484,-0.0438798701249956
2078848,2015,"Filantrópico",0.487947114737195,0.472510527843365,0.968364221392836,0.468747868072064,-0.019199246665131
2079097,2015,"Filantrópico",0.745822111279152,0.732516577222167,0.982159909372807,0.717856113334146,-0.0279659979450059
2079135,2015,"Filantrópico",0.609234206248272,0.557940269363717,0.915805881615827,0.574051514137863,-0.0351826921104088
2079186,2015,"Público Municipal",0.763072485202068,0.66899425084725,0.876711274250827,0.724792318675315,-0.0382801665267527
2079232,2015,"Filantrópico",0.490754841204788,0.452127310650507,0.921289557817806,0.463750491351456,-0.0270043498533324
2079240,2015,"Direta",0.766069468249135,0.598803505174816,0.781656925374394,0.717746893802904,-0.0483225744462306
2079356,2015,"Filantrópico",0.668879901494237,0.654027861675618,0.977795655415209,0.638147190201134,-0.0307327112931024
2079364,2015,"Filantrópico",0.633187585169514,0.582958027344612,0.920671916188225,0.588567590549172,-0.0446199946203425
2079410,2015,"Direta",0.602413096092592,0.542789255684887,0.901024992991619,0.566018499443846,-0.036394596648746
2079593,2015,"Filantrópico",0.80392536002652,0.786836085093789,0.978742709482175,0.761360379413865,-0.0425649806126551
2079615,2015,"Público Municipal",0.755032425997151,0.748902256527752,0.991880918940266,0.720013174512761,-0.0350192514843897
2079704,2015,"Filantrópico",0.868309208010247,0.866515577200018,0.997934340907959,0.783885662611522,-0.0844235453987252
2079720,2015,"Direta",0.559791836050111,0.46027572568079,0.822226577880259,0.532841484513081,-0.0269503515370297
2079798,2015,"Direta",0.827538252525566,0.469143138936473,0.566914142645001,0.735672996571168,-0.0918652559543979
2079828,2015,"OSS",0.814532483378283,0.680482409906323,0.835426976569448,0.742338860645648,-0.0721936227326349
2079836,2015,"Filantrópico",0.561415154438115,0.552531535914607,0.984176382747633,0.537316328764803,-0.0240988256733118
2079860,2015,"Filantrópico",0.588083666740756,0.554160821559281,0.942316294262209,0.567972569246955,-0.020111097493801
2079895,2015,"Filantrópico",0.608078255829238,0.549997299477189,0.904484405098743,0.584924999376378,-0.0231532564528593
2079925,2015,"Filantrópico",0.83357613721934,0.830347582222009,0.996126862498607,0.770259182388866,-0.0633169548304736
2080028,2015,"Público Municipal",0.709701815208366,0.604108396317037,0.85121438803094,0.67265610199609,-0.0370457132122765
2080044,2015,"Filantrópico",0.511652095541116,0.471838374655562,0.922185951679829,0.489164771122178,-0.0224873244189381
2080052,2015,"Filantrópico",0.760935270669039,0.686383005672842,0.902025483809356,0.719665730555852,-0.0412695401131862
2080079,2015,"Direta",0.905398487753065,0.705323261084046,0.779019703064065,0.851367202333157,-0.0540312854199081
2080087,2015,"Filantrópico",0.772763167500384,0.766025963479248,0.991281670368778,0.733810922202796,-0.0389522452975871
2080095,2015,"Filantrópico",0.985190235602419,0.97815838203823,0.992862440866672,0.938370581617165,-0.0468196539852546
2080125,2015,"Filantrópico",1,0.966677706212165,0.966677706212165,0.836718410503674,-0.163281589496326
2080222,2015,"Filantrópico",0.360530646399435,0.354159756127525,0.982329129754892,0.345952850756986,-0.0145777956424483
2080273,2015,"OSS",0.786673785371951,0.617687284862998,0.785188595767109,0.705791066630357,-0.0808827187415937
2080281,2015,"Filantrópico",0.816779367977945,0.744525930850397,0.911538611330962,0.757629982567881,-0.0591493854100641
2080338,2015,"OSS",0.841114349401512,0.627644882783817,0.746206366863688,0.793773013421399,-0.0473413359801131
2080346,2015,"Público Municipal",0.67073522555324,0.451857316499069,0.673674647289272,0.63031093983474,-0.0404242857184997
2080354,2015,"Filantrópico",0.445751033531443,0.374420023676897,0.83997567142037,0.407289527066161,-0.0384615064652818
2080400,2015,"Filantrópico",0.679054559498726,0.636381319034405,0.937157861813311,0.638528474952403,-0.040526084546323
2080478,2015,"Filantrópico",1,0.87271145335749,0.87271145335749,0.890214750003915,-0.109785249996085
2080532,2015,"Filantrópico",0.501761087931775,0.344288442320698,0.68616010807022,0.457984954220091,-0.0437761337116839
2080575,2015,"Filantrópico",0.846147910322786,0.38698085994426,0.457344224600915,0.752859026861635,-0.0932888834611519
2080583,2015,"Público Municipal",0.762027305586923,0.669880389009735,0.879076621137328,0.716364268379621,-0.0456630372073021
2080664,2015,"Filantrópico",0.506384756304141,0.46593871468688,0.920127845252576,0.482036132194161,-0.0243486241099801
2080680,2015,"OSS",0.77011912541481,0.638120044869837,0.828599139809865,0.718251735250563,-0.0518673901642474
2080923,2015,"Filantrópico",0.616244577357966,0.550027948018993,0.892548134666167,0.58216387329623,-0.0340807040617358
2080931,2015,"Filantrópico",0.617555492174406,0.450267136173827,0.729112026173457,0.571885263220895,-0.0456702289535115
2080958,2015,"Filantrópico",0.75075406394903,0.743409035422828,0.9902164651796,0.710283234177425,-0.0404708297716045
2081059,2015,"Público Municipal",0.823736096509865,0.787501855276917,0.956012318281946,0.787446739528715,-0.0362893569811495
2081083,2015,"OSS",0.703202634841573,0.668862632705287,0.95116627777707,0.67524081804776,-0.0279618167938129
2081091,2015,"Público Municipal",0.649753573284546,0.630937988320362,0.971041967696969,0.621592535127143,-0.0281610381574038
2081105,2015,"Filantrópico",0.78581152195244,0.749715029281346,0.954064694061232,0.736993243282543,-0.0488182786698974
2081164,2015,"Filantrópico",0.454550898491852,0.435245580414646,0.957528808894101,0.436525981049809,-0.0180249174420428
