"cnes","ano","categoria","te_bcc_leitos","te_bcc_leitos_vc"
8028,2015,"Público Municipal",0.528799554710654,0.512823144447336
8036,2015,"Público Municipal",0.520022729093969,0.501264592581627
8052,2015,"Direta",0.288149591577045,0.275531939532817
8923,2015,"Público Municipal",0.61370197023626,0.586022114907881
9601,2015,"Filantrópico",0.673546869874593,0.543168171045409
9628,2015,"Público Municipal",0.916574129889908,0.858562318161625
2022621,2015,"Filantrópico",0.465501115887106,0.450879862195923
2022648,2015,"Filantrópico",0.0780814277746793,0.0753704608659291
2023016,2015,"Filantrópico",0.335287221570926,0.324724026586965
2023474,2015,"Público Municipal",0.436897197970471,0.424236411895424
2023709,2015,"Filantrópico",0.408850042636131,0.394041311206676
2024691,2015,"Filantrópico",0.315820726707196,0.301791817109768
2024756,2015,"Filantrópico",0.487085434815833,0.469960133275622
2025361,2015,"Público Municipal",0.642357722943691,0.591545387065261
2025477,2015,"Filantrópico",0.347139084507042,0.337204823481019
2025507,2015,"Filantrópico",0.471195063670762,0.447120101858196
2025752,2015,"Filantrópico",0.411000407854105,0.353187040152623
2026805,2015,"Filantrópico",0.216334010202565,0.209350160626322
2027186,2015,"Filantrópico",0.652647972000478,0.631382946017584
2027356,2015,"Público Municipal",0.625559354628313,0.593892317320449
2028204,2015,"Filantrópico",0.250369696280286,0.243388382449715
2028239,2015,"Filantrópico",0.375585096423891,0.356702953678495
2028840,2015,"Direta",0.305642138345385,0.25059694798968
2040069,2015,"Filantrópico",0.85441429864782,0.819809556660968
2058308,2015,"Público Municipal",0.260698509110988,0.24150485606438
2058790,2015,"Público Municipal",0.542440438445511,0.51961377833872
2065665,2015,"Direta",0.503514853088859,0.487471789566089
2066092,2015,"OSS",0.917576316615316,0.884233943144897
2066572,2015,"Direta",0.263887700655154,0.245913692527847
2069776,2015,"Público Municipal",0.564981614902483,0.545280333020731
2071568,2015,"Filantrópico",0.769711902181692,0.640380844416487
2075717,2015,"Público Municipal",0.489867029798142,0.476461352562475
2075962,2015,"Filantrópico",0.740979781458632,0.718741998079126
2076896,2015,"Filantrópico",0.668073917883839,0.645027134147155
2076926,2015,"Direta",0.705927603830494,0.678745687676539
2077388,2015,"Filantrópico",0.81589722751852,0.78808871777456
2077396,2015,"Filantrópico",1,0.801067379228394
2077426,2015,"OSS",0.980510792748757,0.951622439909055
2077434,2015,"OSS",0.607468923713513,0.58562019282479
2077450,2015,"Público Municipal",0.627672825410006,0.608093950195619
2077477,2015,"Filantrópico",0.757123302778351,0.625266514053745
2077485,2015,"Filantrópico",0.619108772654221,0.502893789630278
2077493,2015,"Direta",0.359092675344861,0.341165148694022
2077507,2015,"Privado",0.0713256570982166,0.0580772114881588
2077523,2015,"Direta",0.58833930034702,0.561418196444876
2077531,2015,"Filantrópico",0.308289078947479,0.244911980969352
2077574,2015,"OSS",0.727761398371497,0.656173516549768
2077582,2015,"Filantrópico",0.388297338021095,0.375320308834522
2077590,2015,"Filantrópico",0.437603461975482,0.36281171586416
2077620,2015,"OSS",0.708732240221646,0.671626927592414
2077639,2015,"Público Municipal",0.58693935697542,0.568682865103726
2077647,2015,"Filantrópico",0.257705334511077,0.242961496652818
2077655,2015,"Filantrópico",0.128064454954505,0.115164072624321
2077671,2015,"OSS",0.855265711072952,0.822591155187277
2077701,2015,"Direta",0.625314921063686,0.600986009226309
2078015,2015,"Filantrópico",1,0.759048723778938
2078074,2015,"Filantrópico",0.373769262026068,0.360976596116177
2078104,2015,"OSS",0.811681554242427,0.77716002195594
2078139,2015,"Filantrópico",0.33630871572088,0.326278587893788
2078155,2015,"Filantrópico",0.398864454584124,0.359300214182668
2078252,2015,"Filantrópico",0.48587097973601,0.469001665412156
2078287,2015,"Direta",0.535088553045757,0.45802393135607
2078295,2015,"Filantrópico",0.360981991260055,0.344189453570516
2078414,2015,"Filantrópico",0.297168960750135,0.282619506337917
2078465,2015,"Filantrópico",0.0715547703180212,0.0687215505469138
2078473,2015,"Público Municipal",0.387975171433014,0.371507811517251
2078503,2015,"Filantrópico",0.421870680387037,0.40685330790573
2078511,2015,"Filantrópico",0.234275618374558,0.224990928068992
2078562,2015,"OSS",0.715796933311235,0.688880351131662
2078775,2015,"Filantrópico",0.551497277676951,0.5023833249254
2078848,2015,"Filantrópico",0.351683072062219,0.342051966186689
2079097,2015,"Filantrópico",0.411529862663686,0.395805989763131
2079135,2015,"Filantrópico",0.367707655364046,0.350139068121965
2079186,2015,"Público Municipal",0.746816999132698,0.723308324619318
2079232,2015,"Filantrópico",0.309875177365138,0.294911783687458
2079240,2015,"Direta",0.3681701947374,0.353156666767159
2079356,2015,"Filantrópico",0.231786439502749,0.224303743528202
2079364,2015,"Filantrópico",0.114398052799101,0.108646811913041
2079410,2015,"Direta",0.330672402246498,0.311381313433557
2079593,2015,"Filantrópico",0.634146341463415,0.616379140435731
2079615,2015,"Público Municipal",0.363253217906367,0.348468005857647
2079704,2015,"Filantrópico",0.384151643382992,0.348009383648862
2079720,2015,"Direta",0.467870115966158,0.448160193544937
2079798,2015,"Direta",0.827538252525567,0.698302059346065
2079828,2015,"OSS",0.694130993494499,0.641975658955551
2079836,2015,"Filantrópico",0.296938366237355,0.288467514102762
2079860,2015,"Filantrópico",0.49730433166016,0.480038054324667
2079895,2015,"Filantrópico",0.426350195399523,0.404237783258964
2079925,2015,"Filantrópico",0.477872279083177,0.435862717753682
2080028,2015,"Público Municipal",0.521323891281376,0.505865632116563
2080044,2015,"Filantrópico",0.249753780198135,0.239406620416826
2080052,2015,"Filantrópico",0.708879702167508,0.680814882685085
2080079,2015,"Direta",0.423556393505198,0.406463979209656
2080087,2015,"Filantrópico",0.304372544965888,0.293565285411176
2080095,2015,"Filantrópico",0.48707507082153,0.466073930731287
2080125,2015,"Filantrópico",1,0.803723731195707
2080222,2015,"Filantrópico",0.20364036867428,0.195145247441824
2080273,2015,"OSS",0.572618887307145,0.487084134853478
2080281,2015,"Filantrópico",0.1729854403921,0.157778359367849
2080338,2015,"OSS",0.786553478764673,0.746499889209971
2080346,2015,"Público Municipal",0.513349896016775,0.476306725880481
2080354,2015,"Filantrópico",0.195900417483499,0.187772167183667
2080400,2015,"Filantrópico",0.606400999405271,0.55982686277401
2080478,2015,"Filantrópico",0.148467697404749,0.137536919617284
2080532,2015,"Filantrópico",0.239496430627929,0.208595276272766
2080575,2015,"Filantrópico",0.829920241431343,0.699275986404762
2080583,2015,"Público Municipal",0.555478545193857,0.538692032742437
2080664,2015,"Filantrópico",0.292447353142978,0.276567892685075
2080680,2015,"OSS",0.711466365777693,0.672859984801924
2080923,2015,"Filantrópico",0.339935214516698,0.323833883390717
2080931,2015,"Filantrópico",0.426583481763494,0.398847637379176
2080958,2015,"Filantrópico",0.251114491005402,0.241877666508666
2081059,2015,"Público Municipal",0.664394829612221,0.643761919175268
2081083,2015,"OSS",0.49996669553054,0.48431862837128
2081091,2015,"Público Municipal",0.486693401385345,0.472680094755427
2081105,2015,"Filantrópico",0.197059992054033,0.184811947705489
2081164,2015,"Filantrópico",0.381697725775832,0.371189482907712
2081253,2015,"Filantrópico",0.352862337902161,0.33182085392663
2081261,2015,"Filantrópico",0.432061978545888,0.405207647438949
2081350,2015,"Filantrópico",0.386430246189918,0.374255794628421
2081377,2015,"Filantrópico",0.523259564555148,0.494096695035713
2081458,2015,"Filantrópico",0.625498758077616,0.583593272995613
2081490,2015,"Público Municipal",0.643933490167417,0.608572764029502
2081512,2015,"Filantrópico",0.2936168849631,0.273219654260266
2081555,2015,"Filantrópico",0.473850078787424,0.460702177830492
2081695,2015,"Direta",0.557100558122473,0.515986656116265
2081814,2015,"Filantrópico",0.252830916012143,0.245030047969646
2081873,2015,"Filantrópico",0.369279957370279,0.358015294261737
2081970,2015,"Público Municipal",0.736524854667975,0.71453300908476
2082098,2015,"Filantrópico",0.509874585555716,0.464770676748371
2082128,2015,"Filantrópico",0.624191506030682,0.574660517735483
2082179,2015,"Filantrópico",0.00901654582636178,0.00870349369523229
2082187,2015,"Filantrópico",1,0.778764310855874
2082225,2015,"Direta",0.506090969797601,0.485923160257035
2082322,2015,"Filantrópico",0.413774787535411,0.395934124361693
2082349,2015,"Público Municipal",0.701459814439557,0.680345390799999
2082381,2015,"Público Municipal",0.693455313159747,0.670948374846703
2082519,2015,"Filantrópico",0.274961699860121,0.266574158497917
2082527,2015,"Filantrópico",0.528946905815438,0.467963457643071
2082586,2015,"Filantrópico",0.278282532239156,0.269515265073709
2082594,2015,"Público Municipal",0.414187972784964,0.396034726900423
2082632,2015,"Filantrópico",0.280628087508821,0.272565245652816
2082640,2015,"Filantrópico",0.312199294344061,0.300099940604268
2082659,2015,"Filantrópico",0.092149034629161,0.0894265971311103
2082667,2015,"Filantrópico",0.356834083515308,0.346703523224502
2082691,2015,"Filantrópico",0.33690583612941,0.319719151528741
2082721,2015,"Filantrópico",0.509853058434901,0.489100907563132
2082748,2015,"Filantrópico",0.392084499872741,0.371058481560911
2082810,2015,"Filantrópico",0.298829142074733,0.288523224979119
2082829,2015,"Público Municipal",0.662655771298208,0.629094537621036
2082845,2015,"Filantrópico",0.373782639378969,0.362991791751378
