"variante","modelo","n","coef_oss","ep","ic_lo","ic_hi"
"principal","mortalidade",3177,-0.262033913071973,0.075264472464995,-0.409552279103363,-0.114515547040583
"principal","tmp",3177,-0.107985204205236,0.0473032572005606,-0.200699588318335,-0.0152708200921372
"principal","custo",3177,-0.0866315723750067,0.0603412516095635,-0.204900425529751,0.0316372807797379
"principal","producao",3177,0.281511083660309,0.0718183639534059,0.140747090311634,0.422275077008985
"principal","ocupacao",3177,0.118015781684322,0.0810977574323815,-0.0409358228831454,0.27696738625179
"principal","uti_intensidade",2482,0.265140611653367,0.106639371078226,0.0561274443400448,0.47415377896669
"sem_pandemia","mortalidade",2601,-0.242943405287247,0.0789199920040136,-0.397626589615113,-0.08826022095938
"sem_pandemia","tmp",2601,-0.121685045227182,0.0502621799340079,-0.220198917897837,-0.0231711725565265
"sem_pandemia","custo",2601,-0.0829480230891484,0.0639018097104984,-0.208195570121725,0.0422995239434285
"sem_pandemia","producao",2601,0.262019627522554,0.0759428678097956,0.113171606615355,0.410867648429754
"sem_pandemia","ocupacao",2601,0.0917239514323635,0.0860540717683656,-0.0769420292336331,0.26038993209836
"sem_pandemia","uti_intensidade",2039,0.261837017336572,0.11065167394562,0.0449597364031556,0.478714298269988
"sem_switchers","mortalidade",3122,0.00261807633344786,0.212775780093612,-0.414422452650032,0.419658605316928
"sem_switchers","tmp",3122,-0.280530955238032,0.0777004669572803,-0.432823870474301,-0.128238040001763
"sem_switchers","custo",3122,-0.0856570052090203,0.132522572794278,-0.345401247885805,0.174087237467764
"sem_switchers","producao",3122,0.492011620450161,0.139503349374533,0.218585055676076,0.765438185224245
"sem_switchers","ocupacao",3122,0.235176255546247,0.1075196502755,0.0244377410062677,0.445914770086226
"sem_switchers","uti_intensidade",2427,0.187320459783194,0.0848859778276817,0.0209439432409377,0.35369697632545
"suporte_comum","mortalidade",2431,-0.301205786562886,0.0985451954117781,-0.494354369569971,-0.108057203555801
"suporte_comum","tmp",2431,-0.13023602801301,0.0546601314826482,-0.237369885719001,-0.0231021703070197
"suporte_comum","custo",2431,-0.145426358337511,0.078060094021027,-0.298424142618724,0.00757142594370161
"suporte_comum","producao",2431,0.412725115630205,0.093405175840391,0.229650970983038,0.595799260277371
"suporte_comum","ocupacao",2431,0.288202045810289,0.105989547679789,0.0804625323579033,0.495941559262675
"suporte_comum","uti_intensidade",2114,0.497850140190089,0.135245515326147,0.232768930150842,0.762931350229337
