"categoria","ano","te_sfa"
"Direta",2015,0.734481220652587
"OSS",2015,0.99943356959968
"Público Municipal",2015,0.921647090092782
"Filantrópico",2015,0.742511369044616
"Privado",2015,0.214426230353502
"Direta",2016,0.725191061265858
"OSS",2016,0.999433846105933
"Público Municipal",2016,0.919841343050414
"Filantrópico",2016,0.74145568327951
"Privado",2016,0.2635572265094
"Direta",2017,0.728743239149181
"OSS",2017,0.99943385237759
"Público Municipal",2017,0.91712134953206
"Filantrópico",2017,0.743768508090715
"Privado",2017,0.283471822941965
"Direta",2018,0.72862748242201
"OSS",2018,0.999433863024987
"Público Municipal",2018,0.9194906586631
"Filantrópico",2018,0.744753179489835
"Privado",2018,0.290538651294573
"Direta",2019,0.74027631517965
"OSS",2019,0.999433814599708
"Público Municipal",2019,0.915205336522813
"Filantrópico",2019,0.746284350713973
"Privado",2019,0.302310206521331
"Direta",2020,0.700290421333148
"OSS",2020,0.999433751937438
"Público Municipal",2020,0.909962555857607
"Filantrópico",2020,0.744667568912035
"Privado",2020,0.333345681779638
"Direta",2021,0.710713151921876
"OSS",2021,0.999433468062311
"Público Municipal",2021,0.906266976955939
"Filantrópico",2021,0.733402772476789
"Privado",2021,0.272474532492044
"Direta",2022,0.712972318925242
"OSS",2022,0.999433548869079
"Público Municipal",2022,0.911380975726236
"Filantrópico",2022,0.753380777737314
"Privado",2022,0.349806221859644
"Direta",2023,0.713479972519533
"OSS",2023,0.999433481167096
"Público Municipal",2023,0.912891864760519
"Filantrópico",2023,0.755051111941984
"Privado",2023,0.321411946022678
"Direta",2024,0.720514675641381
"OSS",2024,0.999433491737942
"Público Municipal",2024,0.915266013809609
"Filantrópico",2024,0.748796718407765
"Privado",2024,0.321408395508062
"Direta",2025,0.708962160192478
"OSS",2025,0.999433297911748
"Público Municipal",2025,0.913625546198702
"Filantrópico",2025,0.764726867815443
"Privado",2025,0.325660635096048
